"column_name","csv_name","datatype"
"accessRights","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","logical"
"accessRights","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","logical"
"accessRights","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","logical"
"accessRights","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","logical"
"accessRights","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","logical"
"accessRights","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","logical"
"accessRights","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","logical"
"accessRights","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","logical"
"accessRights","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","logical"
"accessRights","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","logical"
"accessRights","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","character"
"accessRights","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","character"
"accessRights","DarwinCore_2026_06_22_230410_Bell_MN_post2000","character"
"accessRights","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","character"
"accessRights","DarwinCore_2026_06_22_230410_Bell_MN_year_na","character"
"accessRights","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","logical"
"accessRights","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","logical"
"accessRights","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","logical"
"accessRights","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","logical"
"accessRights","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"accessRights","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","logical"
"accessRights","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","logical"
"accessRights","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"associatedOccurrences","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990",NA
"associatedOccurrences","DarwinCore_2026_06_21_212202_Consortium_MN_post1990",NA
"associatedOccurrences","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946",NA
"associatedOccurrences","DarwinCore_2026_06_21_212202_Consortium_MN_year_na",NA
"associatedOccurrences","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960",NA
"associatedOccurrences","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976",NA
"associatedOccurrences","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000",NA
"associatedOccurrences","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000",NA
"associatedOccurrences","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940",NA
"associatedOccurrences","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na",NA
"associatedOccurrences","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985",NA
"associatedOccurrences","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000",NA
"associatedOccurrences","DarwinCore_2026_06_22_230410_Bell_MN_post2000",NA
"associatedOccurrences","DarwinCore_2026_06_22_230410_Bell_MN_pre1946",NA
"associatedOccurrences","DarwinCore_2026_06_22_230410_Bell_MN_year_na",NA
"associatedOccurrences","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB","logical"
"associatedOccurrences","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958","logical"
"associatedOccurrences","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976","logical"
"associatedOccurrences","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976","logical"
"associatedOccurrences","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB","character"
"associatedOccurrences","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN",NA
"associatedOccurrences","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN",NA
"associatedOccurrences","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP",NA
"associatedSequences","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","logical"
"associatedSequences","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","logical"
"associatedSequences","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","logical"
"associatedSequences","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","logical"
"associatedSequences","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","logical"
"associatedSequences","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","logical"
"associatedSequences","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","logical"
"associatedSequences","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","logical"
"associatedSequences","DarwinCore_2026_06_21_220149_Consortium_WIS_pre1940","logical"
"associatedSequences","DarwinCore_2026_06_21_220149_Consortium_WIS_year_na","logical"
"associatedSequences","DarwinCore_2026_06_22_230410_Bell_MN_1946_1985","logical"
"associatedSequences","DarwinCore_2026_06_22_230410_Bell_MN_1986_2000","logical"
"associatedSequences","DarwinCore_2026_06_22_230410_Bell_MN_post2000","logical"
"associatedSequences","DarwinCore_2026_06_22_230410_Bell_MN_pre1946","logical"
"associatedSequences","DarwinCore_2026_06_22_230410_Bell_MN_year_na","logical"
"associatedSequences","occurrence_data_20260622140939_DarwinCore_WisFlora_MIN_UWGB",NA
"associatedSequences","occurrence_data_20260622143552_DarwinCore_WisFlora_WIS_pre1958",NA
"associatedSequences","occurrence_data_20260622144330_DarwinCore_WisFlora_WIS_1958_1976",NA
"associatedSequences","occurrence_data_20260622144555_DarwinCore_WisFlora_WIS_post1976",NA
"associatedSequences","occurrence_data_20260630112217_DarwinCore_WisFlora_except_MIN_WIS_UWGB",NA
"associatedSequences","occurrences_2026_06_20_233021_DarwinCore_Bell_Atlas_Execept_MIN","logical"
"associatedSequences","occurrences_2026_06_22_222501_Consortium_except_UWM_UWSP_WIS_MN","logical"
"associatedSequences","occurrences_2026_06_22_222928_DarwinCore_Consortium_UWM_UWSP","character"
"associatedTaxa","DarwinCore_2026_06_21_212202_Consortium_MN_1946_1990","character"
"associatedTaxa","DarwinCore_2026_06_21_212202_Consortium_MN_post1990","character"
"associatedTaxa","DarwinCore_2026_06_21_212202_Consortium_MN_pre1946","character"
"associatedTaxa","DarwinCore_2026_06_21_212202_Consortium_MN_year_na","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_1940_1960","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_1961_1976","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_1977_2000","character"
"associatedTaxa","DarwinCore_2026_06_21_220149_Consortium_WIS_post2000","character"
