"County","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
"Taylor",92,0,-92,9.33069363126915,-9.85993149444842
"Langlade",81,9,-72,8.78476590574102,-8.19600667479899
"Lincoln",97,0,-97,9.56611215438601,-10.1399605643894
"Rusk",77,0,-77,8.57559561430128,-8.97896816304972
"Barron",86,2,-84,9.03797253211408,-9.29411985946272
"Polk",85,116,31,8.98803171551035,3.44903099824451
"Oneida",135,0,-135,11.1519943431495,-12.1054580773643
"Price",111,1,-110,10.1887954109071,-10.7961732043658
"Florence",48,0,-48,6.83050334621545,-7.02730056147256
"Forest",106,0,-106,9.97219003507668,-10.6295607712198
"Sawyer",119,0,-119,10.5232143223104,-11.3083318798997
"Washburn",87,3,-84,9.08757470408545,-9.24339031427567
"Burnett",66,11,-55,7.96608915525083,-6.90426618734826
"Vilas",98,4,-94,9.61232192494603,-9.77911484175846
"Iron",68,0,-68,8.08097871771561,-8.41482230994202
"Douglas",121,695,574,10.604621303886,54.1273453857009
"Bayfield",144,853,709,11.4848588874197,61.7334533188408
"Ashland",93,20,-73,9.37837453852376,-7.78386485847161
