"County","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
"Kenosha",6,0,-6,2.44541517981345,-2.45357109481005
"Lafayette",25,0,-25,4.96525322739821,-5.03498993003021
"Rock",21,1,-20,4.555840061982,-4.38996973728246
"Walworth",16,9,-7,3.98223200544021,-1.75780818155174
"Green",24,0,-24,4.86630110315759,-4.93187731117319
"Racine",10,0,-10,3.15350572188321,-3.17107399888534
"Jefferson",24,0,-24,4.86630110315759,-4.93187731117319
"Waukesha",10,0,-10,3.15350572188321,-3.17107399888534
"Iowa",17,0,-17,4.10364340515546,-4.14266014894049
"Milwaukee",4,0,-4,1.99778270441808,-2.00221975651007
"Grant",53,3,-50,7.17243106017893,-6.97113706363776
"Dane",44,0,-44,6.55190230564488,-6.71560684934072
"Crawford",12,0,-12,3.45256739349838,-3.47567436991889
"Richland",20,1,-19,4.44729056300581,-4.27226414168864
"Washington",9,1,-8,2.99251142917443,-2.67333983155647
"Ozaukee",4,0,-4,1.99778270441808,-2.00221975651007
"Dodge",26,1,-25,5.06216206423134,-4.93860127012668
"Sauk",22,1,-21,4.66174387495481,-4.50475199052062
"Columbia",29,1,-28,5.34172931007934,-5.24174820074964
"Vernon",23,5,-18,4.76517840251089,-3.77740316931583
"Sheboygan",23,0,-23,4.76517840251089,-4.82668182745912
"Fond du Lac",21,1,-20,4.555840061982,-4.38996973728246
"Marquette",20,0,-20,4.44729056300581,-4.49712014914593
"Green Lake",17,0,-17,4.10364340515546,-4.14266014894049
"La Crosse",18,25,7,4.22143324179815,1.65820459522849
"Monroe",30,0,-30,5.43151774751324,-5.5233180474712
"Waushara",21,0,-21,4.555840061982,-4.60946822414658
"Juneau",21,0,-21,4.555840061982,-4.60946822414658
"Adams",18,0,-18,4.22143324179815,-4.26395467344469
"Winnebago",21,0,-21,4.555840061982,-4.60946822414658
"Calumet",15,0,-15,3.85685704432869,-3.88917707542641
"Manitowoc",23,2,-21,4.76517840251089,-4.40697036420181
"Outagamie",12,1,-11,3.45256739349838,-3.18603483909232
"Jackson",36,0,-36,5.93986485198391,-6.06074395581173
"Trempealeau",24,5,-19,4.86630110315759,-3.90440287134544
"Buffalo",19,1,-18,4.33589667773576,-4.15139043612998
"Wood",25,0,-25,4.96525322739821,-5.03498993003021
"Waupaca",29,2,-27,5.34172931007934,-5.05454290786573
"Portage",28,0,-28,5.25030008375989,-5.33302850376286
"Pepin",8,0,-8,2.82215218163162,-2.83471601994717
"Kewaunee",6,0,-6,2.44541517981345,-2.45357109481005
"Eau Claire",28,6,-22,5.25030008375989,-4.19023668152796
"Pierce",23,0,-23,4.76517840251089,-4.82668182745912
"Shawano",31,0,-31,5.51974546765526,-5.61620099724789
"Clark",45,0,-45,6.62405588317991,-6.79342094837484
"Marathon",46,1,-45,6.69534919410668,-6.72108335135224
"Menominee",10,0,-10,3.15350572188321,-3.17107399888534
"Dunn",25,0,-25,4.96525322739821,-5.03498993003021
"St. Croix",28,8,-20,5.25030008375989,-3.80930607411633
"Chippewa",38,3,-35,6.09918027279076,-5.73847606310959
"Door",9,1,-8,2.99251142917443,-2.67333983155647
"Taylor",28,0,-28,5.25030008375989,-5.33302850376286
"Oconto",22,0,-22,4.66174387495481,-4.71926399006922
"Langlade",27,9,-18,5.15714280233314,-3.49030474623596
"Lincoln",35,0,-35,5.858440888145,-5.97428576446425
"Rusk",27,0,-27,5.15714280233314,-5.23545711935395
"Barron",29,2,-27,5.34172931007934,-5.05454290786573
"Polk",28,116,88,5.25030008375989,16.7609467261118
"Marinette",41,1,-40,6.32998404902744,-6.31913124743904
"Oneida",40,0,-40,6.25408453790019,-6.39582016482144
"Price",52,1,-51,7.1064716321232,-7.17655717775134
"Florence",7,0,-7,2.64061606175445,-2.65089654697819
"Forest",45,0,-45,6.62405588317991,-6.79342094837484
"Sawyer",45,0,-45,6.62405588317991,-6.79342094837484
"Washburn",27,3,-24,5.15714280233314,-4.65373966164795
"Burnett",24,11,-13,4.86630110315759,-2.67143354355215
"Vilas",39,4,-35,6.17716283743772,-5.66603162666794
"Iron",29,11,-18,5.34172931007934,-3.36969527191049
"Douglas",50,695,645,6.9724427892062,92.5070336896135
"Bayfield",50,853,803,6.9724427892062,115.167671399627
"Ashland",31,20,-11,5.51974546765526,-1.99284551515248
"Brown",12,0,-12,3.45256739349838,-3.47567436991889
