"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
53,"N",1,"E",1,0,-1,0.999708242152798,-1.00029184299469
53,"N",1,"W",1,0,-1,0.999708242152798,-1.00029184299469
53,"N",2,"W",1,0,-1,0.999708242152798,-1.00029184299469
53,"N",3,"W",0,0,0,0,NA
52,"N",5,"W",0,4,4,0,Inf
52,"N",4,"W",0,2,2,0,Inf
52,"N",1,"E",0,0,0,0,NA
52,"N",1,"W",0,0,0,0,NA
52,"N",2,"W",2,5,3,1.41338822611233,2.12255907087313
52,"N",3,"W",2,1,-1,1.41338822611233,-0.707519690291042
51,"N",5,"W",6,0,-6,2.44519866256641,-2.45378835341852
51,"N",4,"W",1,2,1,0.999708242152798,1.00029184299469
51,"N",3,"W",1,2,1,0.999708242152798,1.00029184299469
51,"N",2,"W",0,1,1,0,Inf
51,"N",1,"W",1,1,1.11022302462516e-16,0.999708242152798,1.11054703543743e-16
51,"N",7,"W",0,0,0,0,NA
51,"N",6,"W",0,0,0,0,NA
50,"N",7,"W",2,0,-2,1.41338822611233,-1.41503938058208
50,"N",6,"W",2,2,2.22044604925031e-16,1.41338822611233,1.57100930107355e-16
50,"N",5,"W",3,0,-3,1.73053434662654,-1.73356859738041
50,"N",4,"W",0,0,0,0,NA
50,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208
50,"N",2,"W",0,2,2,0,Inf
50,"N",8,"W",2,6,4,1.41338822611233,2.83007876116417
50,"N",9,"W",0,0,0,0,NA
49,"N",10,"W",5,49,44,2.23280411942157,19.7061621381273
49,"N",9,"W",6,1,-5,2.44519866256641,-2.04482362784877
49,"N",14,"W",4,109,105,1.99766491455695,52.5613676422242
49,"N",8,"W",4,0,-4,1.99766491455695,-2.00233781494187
49,"N",7,"W",4,0,-4,1.99766491455695,-2.00233781494187
49,"N",6,"W",5,0,-5,2.23280411942157,-2.23933660660537
49,"N",5,"W",2,0,-2,1.41338822611233,-1.41503938058208
49,"N",4,"W",0,2,2,0,Inf
49,"N",3,"W",0,2,2,0,Inf
49,"N",13,"W",1,63,62,0.999708242152798,62.0180942656705
49,"N",12,"W",0,6,6,0,Inf
49,"N",11,"W",1,5,4,0.999708242152798,4.00116737197874
49,"N",15,"W",0,0,0,0,NA
48,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208
48,"N",14,"W",7,17,10,2.64034314095416,3.7873865123403
48,"N",13,"W",1,8,7,0.999708242152798,7.0020429009628
48,"N",12,"W",3,105,102,1.73053434662654,58.9413323109341
48,"N",11,"W",5,0,-5,2.23280411942157,-2.23933660660537
48,"N",10,"W",0,3,3,0,Inf
48,"N",9,"W",4,9,5,1.99766491455695,2.50292226867734
48,"N",8,"W",4,0,-4,1.99766491455695,-2.00233781494187
48,"N",7,"W",2,0,-2,1.41338822611233,-1.41503938058208
48,"N",6,"W",2,0,-2,1.41338822611233,-1.41503938058208
48,"N",5,"W",5,1,-4,2.23280411942157,-1.7914692852843
48,"N",4,"W",1,1,1.11022302462516e-16,0.999708242152798,1.11054703543743e-16
48,"N",3,"W",7,0,-7,2.64034314095416,-2.65117055863821
48,"N",2,"W",0,0,0,0,NA
47,"N",15,"W",2,14,12,1.41338822611233,8.49023628349251
47,"N",14,"W",2,55,53,1.41338822611233,37.4985435854253
47,"N",13,"W",2,1,-1,1.41338822611233,-0.707519690291042
47,"N",12,"W",1,1,1.11022302462516e-16,0.999708242152798,1.11054703543743e-16
47,"N",11,"W",4,3,-1,1.99766491455695,-0.500584453735468
48,"N",1,"W",0,0,0,0,NA
47,"N",10,"W",3,85,82,1.73053434662654,47.384208328398
47,"N",9,"W",5,2,-3,2.23280411942157,-1.34360196396322
47,"N",8,"W",2,16,14,1.41338822611233,9.9052756640746
47,"N",7,"W",3,0,-3,1.73053434662654,-1.73356859738041
47,"N",6,"W",2,0,-2,1.41338822611233,-1.41503938058208
47,"N",5,"W",2,0,-2,1.41338822611233,-1.41503938058208
47,"N",4,"W",4,1,-3,1.99766491455695,-1.50175336120641
47,"N",3,"W",5,0,-5,2.23280411942157,-2.23933660660537
47,"N",2,"W",3,1,-2,1.73053434662654,-1.15571239825361
47,"N",1,"W",2,0,-2,1.41338822611233,-1.41503938058208
47,"N",1,"E",7,0,-7,2.64034314095416,-2.65117055863821
46,"N",15,"W",2,23,21,1.41338822611233,14.8579134961119
47,"N",2,"E",1,0,-1,0.999708242152798,-1.00029184299469
46,"N",14,"W",3,4,1,1.73053434662654,0.577856199126805
46,"N",13,"W",3,12,9,1.73053434662654,5.20070579214124
46,"N",12,"W",1,1,1.11022302462516e-16,0.999708242152798,1.11054703543743e-16
46,"N",11,"W",5,3,-2,2.23280411942157,-0.895734642642148
46,"N",10,"W",6,57,51,2.44519866256641,20.8572010040574
46,"N",9,"W",1,11,10,0.999708242152798,10.0029184299469
46,"N",8,"W",6,5,-1,2.44519866256641,-0.408964725569753
