"County","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
"Taylor",67,0,-67,7.92092082508515,-8.45861251229964
"Langlade",45,0,-45,6.56344022811844,-6.8561605554379
"Lincoln",56,0,-56,7.28180389269643,-7.69040210711626
"Rusk",55,0,-55,7.22010948841276,-7.61761301380085
"Barron",44,0,-44,6.49331870893363,-6.77619595961985
"Polk",52,13,-39,7.03096971294603,-5.5468877825188
"Oneida",72,1,-71,8.1903353977657,-8.6687536653711
"Price",67,2,-65,7.92092082508515,-8.2061166164101
"Florence",28,0,-28,5.22074391087345,-5.36322035288559
"Forest",61,4,-57,7.58087326557374,-7.51892268913772
"Sawyer",83,8,-75,8.74436657906507,-8.57695057976616
"Washburn",40,0,-40,6.20338403087662,-6.44809346010253
"Burnett",43,0,-43,6.42228390452218,-6.69543742370561
"Vilas",76,0,-76,8.39761419086824,-9.05018952676394
"Iron",38,0,-38,6.05227073292892,-6.27863518947547
"Douglas",77,1000,923,8.44835858663381,109.251991441306
"Bayfield",87,17,-70,8.9341359727031,-7.83511692836043
"Ashland",63,9,-54,7.69638521327016,-7.01628082582104
