"County","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
"Kenosha",3,1,-2,1.72970013811988,-1.15626978105808
"Lafayette",14,0,-14,3.71790059174887,-3.76556598395078
"Rock",16,4,-12,3.97096150349083,-3.021938134996
"Walworth",4,0,-4,1.9963800875304,-2.00362647623287
"Green",14,0,-14,3.71790059174887,-3.76556598395078
"Racine",6,0,-6,2.44283652159692,-2.45616108444199
"Jefferson",8,0,-8,2.81817916668752,-2.83871234822987
"Waukesha",11,1,-10,3.30009041467459,-3.03022000716488
"Iowa",16,0,-16,3.97096150349083,-4.02925084666134
"Milwaukee",5,0,-5,2.23100784886558,-2.24113958296579
"Grant",23,0,-23,4.74570330079412,-4.84648924347026
"Dane",27,0,-27,5.13233553002595,-5.2607628324455
"Crawford",13,0,-13,3.58429869105391,-3.62692987402162
"Richland",17,0,-17,4.09129539520797,-4.15516318374657
"Washington",3,0,-3,1.72970013811988,-1.73440467158712
"Ozaukee",8,0,-8,2.81817916668752,-2.83871234822987
"Dodge",11,0,-11,3.30009041467459,-3.33324200788137
"Sauk",12,4,-8,3.44525776756848,-2.32203235279143
"Columbia",20,0,-20,4.43151625825711,-4.51312797572041
"Vernon",19,8,-11,4.32129593447908,-2.54553267510156
"Sheboygan",13,0,-13,3.58429869105391,-3.62692987402162
"Fond du Lac",17,0,-17,4.09129539520797,-4.15516318374657
"Marquette",16,0,-16,3.97096150349083,-4.02925084666134
"Green Lake",7,0,-7,2.63736539040984,-2.65416389608124
"La Crosse",12,16,4,3.44525776756848,1.16101617639572
"Monroe",14,0,-14,3.71790059174887,-3.76556598395078
"Waushara",20,1,-19,4.43151625825711,-4.28747157693439
"Juneau",12,0,-12,3.44525776756848,-3.48304852918715
"Adams",16,0,-16,3.97096150349083,-4.02925084666134
"Winnebago",6,2,-4,2.44283652159692,-1.63744072296133
"Calumet",10,0,-10,3.14794918745511,-3.17667135157422
"Manitowoc",10,0,-10,3.14794918745511,-3.17667135157422
"Outagamie",12,1,-11,3.44525776756848,-3.19279448508822
"Jackson",14,0,-14,3.71790059174887,-3.76556598395078
"Trempealeau",18,1,-17,4.20797486223833,-4.03994808822534
"Buffalo",8,9,1,2.81817916668752,0.354839043528733
"Wood",26,0,-26,5.03872885029182,-5.16003158187292
"Waupaca",10,0,-10,3.14794918745511,-3.17667135157422
"Portage",24,0,-24,4.84553447412809,-4.95301398187216
"Pepin",8,0,-8,2.81817916668752,-2.83871234822987
"Kewaunee",6,0,-6,2.44283652159692,-2.45616108444199
"Eau Claire",12,0,-12,3.44525776756848,-3.48304852918715
"Pierce",12,0,-12,3.44525776756848,-3.48304852918715
"Shawano",15,0,-15,3.8466302389622,-3.89951699751805
"Clark",24,0,-24,4.84553447412809,-4.95301398187216
"Marathon",32,0,-32,5.57441844938327,-5.74050912943938
"Menominee",9,0,-9,2.98776891849209,-3.01228115209868
"Dunn",21,0,-21,4.53886173206288,-4.62671066881248
"St. Croix",19,0,-19,4.32129593447908,-4.3968291660845
"Chippewa",26,0,-26,5.03872885029182,-5.16003158187292
"Door",8,0,-8,2.81817916668752,-2.83871234822987
"Taylor",17,0,-17,4.09129539520797,-4.15516318374657
"Oconto",10,0,-10,3.14794918745511,-3.17667135157422
"Langlade",19,0,-19,4.32129593447908,-4.3968291660845
"Lincoln",8,0,-8,2.81817916668752,-2.83871234822987
"Rusk",20,0,-20,4.43151625825711,-4.51312797572041
"Barron",21,0,-21,4.53886173206288,-4.62671066881248
"Polk",20,13,-7,4.43151625825711,-1.57959479150214
"Marinette",30,3,-27,5.40243063640742,-4.9977504233085
"Oneida",26,1,-25,5.03872885029182,-4.96156882872396
"Price",21,2,-19,4.53886173206288,-4.18607155749701
"Florence",3,0,-3,1.72970013811988,-1.73440467158712
"Forest",23,4,-19,4.74570330079412,-4.00362154895369
"Sawyer",24,8,-16,4.84553447412809,-3.3020093212481
"Washburn",21,0,-21,4.53886173206288,-4.62671066881248
"Burnett",16,0,-16,3.97096150349083,-4.02925084666134
"Vilas",18,0,-18,4.20797486223833,-4.27759209341506
"Iron",16,0,-16,3.97096150349083,-4.02925084666134
"Douglas",23,1000,977,4.74570330079412,205.870434385672
"Bayfield",32,17,-15,5.57441844938327,-2.69086365442471
"Ashland",23,9,-14,4.74570330079412,-2.95003693080799
"Brown",8,1,-7,2.81817916668752,-2.48387330470113
