"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
49,"N",10,"W",21,63,42,4.53420334788814,9.26292818771836,1663,56529.9616,-188268216.2
49,"N",14,"W",20,333,313,4.42718872423573,70.6994934023359,1667,51584.99464,-165280556.2
49,"N",13,"W",7,229,222,2.63647491928143,84.2033422644909,1666,51155.43186,-118770516.2
49,"N",12,"W",3,5,2,1.72945077987204,1.15643649606957,1665,47094.56304,-133093670.8
49,"N",11,"W",11,0,-11,3.29833291224521,-3.3350181114714,1664,46928.14531,-132613600.2
49,"N",15,"W",0,3,3,0,Inf,1668,19167.30779,-18076677.2
48,"N",15,"W",22,1,-21,4.63853425124791,-4.52729221398987,1655,59645.83277,-165367283.7
48,"N",14,"W",27,11,-16,5.12552436341883,-3.12163183033388,1654,56342.06641,-197951445.5
48,"N",13,"W",26,29,3,5.03229569878401,0.596149387788344,1653,56033.34574,-196608512.8
48,"N",12,"W",23,46,23,4.74035863622152,4.85195356829225,1652,56511.47939,-200310871.4
48,"N",11,"W",41,0,-41,6.27048642451285,-6.53856770022195,1651,56110.85203,-196688173.8
48,"N",10,"W",24,1,-23,4.83983470792134,-4.75222841027112,1650,56194.03169,-197530488.7
47,"N",15,"W",24,150,126,4.83983470792134,26.0339469432244,1640,54625.41286,-184591071.2
47,"N",14,"W",26,22,-4,5.03229569878401,-0.794865850384458,1639,56052.94555,-196669532.4
47,"N",13,"W",29,11,-18,5.30650544143695,-3.39206285542332,1638,55856.37323,-194630124.1
47,"N",12,"W",21,11,-10,4.53420334788814,-2.2054590923139,1637,56088.38176,-196728761.1
47,"N",11,"W",29,8,-21,5.30650544143695,-3.95740666466054,1636,56113.51623,-196432674.9
47,"N",10,"W",25,22,-3,4.93710441453287,-0.6076436202502,1635,56124.16359,-196656797.2
46,"N",15,"W",27,27,0,5.12552436341883,0,1623,56065.77092,-194109187.3
46,"N",14,"W",19,2,-17,4.31729081716764,-3.93765458940125,1622,55574.92202,-192294731.7
46,"N",13,"W",17,1,-16,4.08790900094413,-3.9139814502487,1621,55476.58242,-192211460.2
46,"N",12,"W",28,3,-25,5.2168956286282,-4.79212193987746,1620,55882.36243,-195072090.1
46,"N",11,"W",24,7,-17,4.83983470792134,-3.51251665106996,1619,55243.71386,-191310777.2
46,"N",10,"W",27,5,-22,5.12552436341883,-4.29224376670908,1618,55163.02167,-189019554.7
45,"N",15,"W",30,0,-30,5.39444158370447,-5.56127998320049,1605,56258.34568,-196266118.5
45,"N",14,"W",33,0,-33,5.64898220921256,-5.84176029908227,1604,55862.36828,-194577981.2
45,"N",13,"W",14,0,-14,3.71537346709587,-3.76812724857594,1603,55836.31352,-195034152.1
45,"N",12,"W",28,5,-23,5.2168956286282,-4.40875218468726,1602,55536.73851,-193071541.5
45,"N",11,"W",24,3,-21,4.83983470792134,-4.33899115720407,1601,55738.48747,-193140537.5
45,"N",10,"W",37,0,-37,5.96917079668525,-6.19851588440836,1600,55422.4174,-192795301.1
44,"N",15,"W",20,0,-20,4.42718872423573,-4.51753951452626,1587,56105.82004,-194291100.9
44,"N",14,"W",33,0,-33,5.64898220921256,-5.84176029908227,1586,55810.82709,-195317368.9
44,"N",13,"W",23,0,-23,4.74035863622152,-4.85195356829225,1585,56063.98223,-195694739.7
44,"N",12,"W",24,0,-24,4.83983470792134,-4.95884703680465,1584,55554.14357,-193203912.2
44,"N",11,"W",27,0,-27,5.12552436341883,-5.26775371368842,1583,55982.93547,-196104304.6
44,"N",10,"W",30,0,-30,5.39444158370447,-5.56127998320049,1582,55535.93683,-192309055.6
43,"N",15,"W",29,0,-29,5.30650544143695,-5.46499015595979,1565,56051.16619,-194402916.5
43,"N",14,"W",31,0,-31,5.48078461536302,-5.65612447405885,1564,55697.21188,-195576282.9
43,"N",13,"W",25,0,-25,4.93710441453287,-5.06369683541833,1563,56006.12897,-195532378.5
43,"N",12,"W",19,0,-19,4.31729081716764,-4.40090807050727,1562,55729.47355,-193768883.7
43,"N",11,"W",30,2,-28,5.39444158370447,-5.19052798432045,1561,55618.06296,-192811592.2
43,"N",10,"W",22,0,-22,4.63853425124791,-4.7428775575132,1560,55465.12702,-191549405.9
