"County","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
"Taylor",309,0,-309,17.064573373792,-18.1076897283917
"Langlade",252,9,-243,15.497131148232,-15.6803215818253
"Lincoln",263,0,-263,15.8147070471075,-16.6300899040746
"Rusk",282,6,-276,16.3454732768524,-16.8854089034459
"Barron",229,32,-197,14.806198945661,-13.3052379427693
"Polk",280,348,68,16.2906120744397,4.17418324672364
"Oneida",358,5,-353,18.2785841037587,-19.3122179484029
"Price",352,10,-342,18.135622963752,-18.8579129971747
"Florence",121,0,-121,10.8752244613279,-11.1262071353353
"Forest",315,6,-309,17.2192240781154,-17.9450594636677
"Sawyer",390,8,-382,19.0169475810923,-20.0873456884219
"Washburn",228,5,-223,14.7752741034546,-15.0927826068459
"Burnett",245,85,-160,15.2908357185737,-10.4637838601358
"Vilas",326,16,-310,17.4982048722414,-17.7161030096164
"Iron",216,0,-216,14.3979864364021,-15.002097755412
"Douglas",405,3521,3116,19.3499648821283,161.033883987973
"Bayfield",480,1197,717,20.9056686060449,34.2969179083169
"Ashland",312,116,-196,17.142122067973,-11.4338236084662
