"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
49,"N",10,"W",55,171,116,7.35804791172812,15.7650509199737,1663,56529.9616,-188268216.2
49,"N",14,"W",71,711,640,8.34076162343467,76.7316018481838,1667,51584.99464,-165280556.2
49,"N",13,"W",20,565,545,4.45941654370309,122.213297335851,1666,51155.43186,-118770516.2
49,"N",12,"W",15,34,19,3.86472478962179,4.91626209737418,1665,47094.56304,-133093670.8
49,"N",11,"W",28,6,-22,5.27042085455188,-4.1742397063034,1664,46928.14531,-132613600.2
49,"N",15,"W",0,3,3,0,Inf,1668,19167.30779,-18076677.2
48,"N",15,"W",74,13,-61,8.51144876101363,-7.1668175081319,1655,59645.83277,-165367283.7
48,"N",14,"W",98,133,35,9.76075641562523,3.58578766948546,1654,56342.06641,-197951445.5
48,"N",13,"W",98,64,-34,9.76075641562523,-3.48333659321444,1653,56033.34574,-196608512.8
48,"N",12,"W",97,417,320,9.71224730939862,32.9480901593531,1652,56511.47939,-200310871.4
48,"N",11,"W",87,2,-85,9.21142370167381,-9.22767237213881,1651,56110.85203,-196688173.8
48,"N",10,"W",96,50,-46,9.66346530868838,-4.76019714777075,1650,56194.03169,-197530488.7
47,"N",15,"W",84,195,111,9.05516558969845,12.2581965951322,1640,54625.41286,-184591071.2
47,"N",14,"W",93,156,63,9.51543985160121,6.62081847844361,1639,56052.94555,-196669532.4
47,"N",13,"W",88,24,-64,9.262862668878,-6.90931111556167,1638,55856.37323,-194630124.1
47,"N",12,"W",89,17,-72,9.31398706316368,-7.73030921255583,1637,56088.38176,-196728761.1
47,"N",11,"W",95,55,-40,9.61440625962301,-4.16042331890898,1636,56113.51623,-196432674.9
47,"N",10,"W",95,175,80,9.61440625962301,8.32084663781795,1635,56124.16359,-196656797.2
46,"N",15,"W",95,228,133,9.61440625962301,13.8334075353723,1623,56065.77092,-194109187.3
46,"N",14,"W",93,29,-64,9.51543985160121,-6.7259108352443,1622,55574.92202,-192294731.7
46,"N",13,"W",83,52,-31,9.00241376322641,-3.44352090620747,1621,55476.58242,-192211460.2
46,"N",12,"W",95,14,-81,9.61440625962301,-8.42485722079068,1620,55882.36243,-195072090.1
46,"N",11,"W",88,55,-33,9.262862668878,-3.56261354396149,1619,55243.71386,-191310777.2
46,"N",10,"W",79,129,50,8.78791739775237,5.68963017481118,1618,55163.02167,-189019554.7
45,"N",15,"W",76,13,-63,8.62319876519439,-7.30587357608935,1605,56258.34568,-196266118.5
45,"N",14,"W",99,14,-85,9.80899667606063,-8.66551420161523,1604,55862.36828,-194577981.2
45,"N",13,"W",94,17,-77,9.56506589927553,-8.05012749633351,1603,55836.31352,-195034152.1
45,"N",12,"W",97,52,-45,9.71224730939862,-4.63332517865902,1602,55536.73851,-193071541.5
45,"N",11,"W",89,54,-35,9.31398706316368,-3.75778920054797,1601,55738.48747,-193140537.5
45,"N",10,"W",88,13,-75,9.262862668878,-8.09684896354883,1600,55422.4174,-192795301.1
44,"N",15,"W",87,0,-87,9.21142370167381,-9.44479407501266,1587,56105.82004,-194291100.9
44,"N",14,"W",97,10,-87,9.71224730939862,-8.95776201207411,1586,55810.82709,-195317368.9
44,"N",13,"W",94,2,-92,9.56506589927553,-9.61833415146342,1585,56063.98223,-195694739.7
44,"N",12,"W",79,13,-66,8.78791739775237,-7.51031183075075,1584,55554.14357,-193203912.2
44,"N",11,"W",99,10,-89,9.80899667606063,-9.07330310522066,1583,55982.93547,-196104304.6
44,"N",10,"W",100,2,-98,9.85697203791911,-9.94220127874976,1582,55535.93683,-192309055.6
43,"N",15,"W",85,5,-80,9.10758069571391,-8.78389142768162,1565,56051.16619,-194402916.5
43,"N",14,"W",102,2,-100,9.95214336842444,-10.0480867586046,1564,55697.21188,-195576282.9
43,"N",13,"W",102,1,-101,9.95214336842444,-10.1485676261906,1563,56006.12897,-195532378.5
43,"N",12,"W",99,3,-96,9.80899667606063,-9.78693368653015,1562,55729.47355,-193768883.7
43,"N",11,"W",118,12,-106,10.6792060395845,-9.92583152783929,1561,55618.06296,-192811592.2
43,"N",10,"W",99,0,-99,9.80899667606063,-10.0927753642342,1560,55465.12702,-191549405.9
