"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
53,"N",1,"E",1,0,-1,0.99990678163578,-1.00009322705469,1690,33145.08302,-56004164.91
53,"N",1,"W",2,0,-2,1.41394988873188,-1.41447728518422,1691,51664.22054,-165634076
53,"N",2,"W",3,1,-2,1.73156638557435,-1.15502357672335,1692,51920.15887,-167329253.4
53,"N",3,"W",0,1,1,0,Inf,1693,51477.2409,-128511269.4
52,"N",5,"W",1,6,5,0.99990678163578,5.00046613527347,1689,56425.57766,-139040071.7
52,"N",4,"W",6,11,5,2.44811939876388,2.0423840448814,1688,55618.70603,-192958463
52,"N",1,"E",0,0,0,0,NA,1684,14230.51518,-11300033.76
52,"N",1,"W",1,0,-1,0.99990678163578,-1.00009322705469,1685,60124.51546,-223813775.6
52,"N",2,"W",3,23,20,1.73156638557435,11.5502357672335,1686,60165.08612,-228874024.9
52,"N",3,"W",5,7,2,2.23502557010665,0.894844348427101,1687,57004.40252,-203283341.6
51,"N",5,"W",10,5,-5,3.15932859894666,-1.58261473708908,1681,56396.38346,-198313251.6
51,"N",4,"W",11,2,-9,3.31322232989396,-2.71638879129733,1680,56432.2759,-198647629.9
51,"N",3,"W",8,7,-0.999999999999999,2.8263171452472,-0.353817334930591,1679,54978.06051,-179401924.7
51,"N",2,"W",3,1,-2,1.73156638557435,-1.15502357672335,1678,53240.94659,-175543954.1
51,"N",1,"W",0,2,2,0,Inf,1677,47065.34756,-118033476.6
51,"N",7,"W",0,1,1,0,Inf,1683,32469.65134,-48203966.34
51,"N",6,"W",3,7,4,1.73156638557435,2.31004715344669,1682,41765.03559,-96888947.44
50,"N",7,"W",8,1,-7,2.8263171452472,-2.47672134451414,1674,56233.02034,-196934952.8
50,"N",6,"W",14,2,-12,3.73677134762079,-3.21132841259887,1673,55721.07415,-194038006.5
50,"N",5,"W",21,0,-21,4.57359653171323,-4.59157248663855,1672,56096.62946,-195987243.2
50,"N",4,"W",10,5,-5,3.15932859894666,-1.58261473708908,1671,56048.79006,-196591880.1
50,"N",3,"W",4,0,-4,1.99925414877138,-2.00074612947942,1670,55569.65795,-190907643.3
50,"N",2,"W",1,2,1,0.99990678163578,1.00009322705469,1669,51707.67132,-75863294.59
50,"N",8,"W",9,64,55,2.99748216489424,18.3487330280548,1675,51650.8737,-126313949
50,"N",9,"W",2,0,-2,1.41394988873188,-1.41447728518422,1676,28526.96806,-28473828.51
49,"N",10,"W",16,171,155,3.9940298474189,38.8079223043781,1663,56529.9616,-188268216.2
49,"N",9,"W",14,2,-12,3.73677134762079,-3.21132841259887,1662,56086.31604,-195470950.4
49,"N",14,"W",12,711,699,3.46022461155574,202.010007577434,1667,51584.99464,-165280556.2
49,"N",8,"W",6,2,-4,2.44811939876388,-1.63390723590512,1661,55295.22226,-190845506.6
49,"N",7,"W",9,0,-9,2.99748216489424,-3.00251995004532,1660,55685.57447,-194381435.3
49,"N",6,"W",11,1,-10,3.31322232989396,-3.01820976810815,1659,55667.40612,-193157698.4
49,"N",5,"W",15,3,-12,3.86756430990813,-3.10272798030992,1658,56120.38532,-197223802.2
49,"N",4,"W",7,2,-5,2.64402439967938,-1.8910566788288,1657,55896.17631,-195646032
49,"N",3,"W",0,17,17,0,Inf,1656,55981.566,-195560724.3
49,"N",13,"W",0,565,565,0,Inf,1666,51155.43186,-118770516.2
49,"N",12,"W",0,34,34,0,Inf,1665,47094.56304,-133093670.8
49,"N",11,"W",8,6,-2,2.8263171452472,-0.707634669861182,1664,46928.14531,-132613600.2
49,"N",15,"W",0,3,3,0,Inf,1668,19167.30779,-18076677.2
48,"N",15,"W",4,13,9,1.99925414877138,4.50167879132869,1655,59645.83277,-165367283.7
48,"N",14,"W",10,133,123,3.15932859894666,38.9323225323915,1654,56342.06641,-197951445.5
48,"N",13,"W",10,64,54,3.15932859894666,17.0922391605621,1653,56033.34574,-196608512.8
48,"N",12,"W",18,417,399,4.23551618051876,94.2033941070037,1652,56511.47939,-200310871.4
48,"N",11,"W",9,2,-7,2.99748216489424,-2.3352932944797,1651,56110.85203,-196688173.8
48,"N",10,"W",7,50,43,2.64402439967938,16.2630874379277,1650,56194.03169,-197530488.7
48,"N",9,"W",12,10,-2,3.46022461155574,-0.577997160450455,1649,55845.7629,-194722012.1
48,"N",8,"W",10,9,-1,3.15932859894666,-0.316522947417817,1648,55253.62776,-191106244
48,"N",7,"W",13,5,-8,3.6011794819818,-2.22149438538883,1647,55681.9181,-192483814.3
48,"N",6,"W",14,1,-13,3.73677134762079,-3.47893911364877,1646,56055.14112,-196841542.1
48,"N",5,"W",12,4,-8,3.46022461155574,-2.31198864180182,1645,56509.06586,-200242065.1
48,"N",4,"W",4,3,-1,1.99925414877138,-0.500186532369854,1644,56000.95776,-194110710.4
48,"N",3,"W",5,1,-4,2.23502557010665,-1.7896886968542,1643,56040.14218,-196617063.6
48,"N",2,"W",2,11,9,1.41394988873188,6.365147783329,1642,51451.8834,-86774981.76
47,"N",15,"W",14,195,181,3.73677134762079,48.4375368900329,1640,54625.41286,-184591071.2
47,"N",14,"W",6,156,150,2.44811939876388,61.2715213464421,1639,56052.94555,-196669532.4
47,"N",13,"W",9,24,15,2.99748216489424,5.00419991674221,1638,55856.37323,-194630124.1
47,"N",12,"W",11,17,6,3.31322232989396,1.81092586086489,1637,56088.38176,-196728761.1
47,"N",11,"W",6,55,49,2.44811939876388,20.0153636398377,1636,56113.51623,-196432674.9
48,"N",1,"W",0,0,0,0,NA,1641,14572.13508,-11446991.62
47,"N",10,"W",11,175,164,3.31322232989396,49.4986401969736,1635,56124.16359,-196656797.2
47,"N",9,"W",15,8,-7,3.86756430990813,-1.80992465518079,1634,56052.09524,-196950517.9
47,"N",8,"W",12,23,11,3.46022461155574,3.1789843824775,1633,55889.28818,-194098935.4
47,"N",7,"W",2,1,-1,1.41394988873188,-0.707238642592111,1632,55692.0074,-195452882.4
47,"N",6,"W",14,1,-13,3.73677134762079,-3.47893911364877,1631,55472.68706,-192517017.1
47,"N",5,"W",14,0,-14,3.73677134762079,-3.74654981469868,1630,55647.88598,-193132883.5
47,"N",4,"W",15,3,-12,3.86756430990813,-3.10272798030992,1629,55748.89701,-194523889.9
47,"N",3,"W",10,0,-10,3.15932859894666,-3.16522947417817,1628,55746.32748,-195480328.4
47,"N",2,"W",8,1,-7,2.8263171452472,-2.47672134451414,1627,55826.48776,-194163734.6
47,"N",1,"W",10,0,-10,3.15932859894666,-3.16522947417817,1625,55020.79674,-175268666
47,"N",1,"E",4,0,-4,1.99925414877138,-2.00074612947942,1624,60924.96281,-94360547.65
46,"N",15,"W",8,228,220,2.8263171452472,77.83981368473,1623,56065.77092,-194109187.3
47,"N",2,"E",1,0,-1,0.99990678163578,-1.00009322705469,1626,30686.24827,-13508824.63
46,"N",14,"W",18,29,11,4.23551618051876,2.59708605307529,1622,55574.92202,-192294731.7
46,"N",13,"W",5,52,47,2.23502557010665,21.0288421880369,1621,55476.58242,-192211460.2
46,"N",12,"W",19,14,-5,4.35117219585728,-1.14911563480766,1620,55882.36243,-195072090.1
