OID,catalogNumber,N_latitude,W_longitude,N_latitude_D,W_longitude_D,DDLat,DDLon,TWP,RNG,DIR_ALPHA
1,SUWS010001,46.306170 N, 91.213480 W,46.30617,-91.21348,46.30617,-91.21348,44,7,W
2,SUWS010007,46.699660 N, 92.001580 W,46.69966,-92.00158,46.69966,-92.00158,49,13,W
3,SUWS010010,46.347170 N, 90.916300 W,46.34717,-90.9163,46.34717,-90.9163,45,4,W
4,SUWS010011,46.699660 N, 92.001580 W,46.69966,-92.00158,46.69966,-92.00158,49,13,W
5,SUWS010012,46.320620 N, 90.858620 W,46.32062,-90.85862,46.32062,-90.85862,44,4,W
6,SUWS010014,46.371730 N, 91.216080 W,46.37173,-91.21608,46.37173,-91.21608,45,7,W
7,SUWS010015,46.347170 N, 90.916300 W,46.34717,-90.9163,46.34717,-90.9163,45,4,W
8,SUWS010023,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
9,SUWS010024,46.371730 N, 91.216080 W,46.37173,-91.21608,46.37173,-91.21608,45,7,W
10,SUWS010025,46.277800 N, 91.278910 W,46.2778,-91.27891,46.2778,-91.27891,44,7,W
11,SUWS010026,46.497910 N, 91.374860 W,46.49791,-91.37486,46.49791,-91.37486,46,8,W
12,SUWS010027,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
13,SUWS010030,46.371730 N, 91.216080 W,46.37173,-91.21608,46.37173,-91.21608,45,7,W
14,SUWS010031,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
15,SUWS010033,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
16,SUWS010037,46.347170 N, 90.916300 W,46.34717,-90.9163,46.34717,-90.9163,45,4,W
17,SUWS010039,46.371730 N, 91.216080 W,46.37173,-91.21608,46.37173,-91.21608,45,7,W
18,SUWS010040,46.347170 N, 90.916300 W,46.34717,-90.9163,46.34717,-90.9163,45,4,W
19,SUWS010042,46.699660 N, 92.001580 W,46.69966,-92.00158,46.69966,-92.00158,49,13,W
20,SUWS010048,46.432150 N, 92.062230 W,46.43215,-92.06223,46.43215,-92.06223,46,14,W
21,SUWS010049,46.432150 N, 92.062230 W,46.43215,-92.06223,46.43215,-92.06223,46,14,W
22,SUWS010050,46.347170 N, 90.916300 W,46.34717,-90.9163,46.34717,-90.9163,45,4,W
23,SUWS010051,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
24,SUWS010052,46.506260 N, 91.367040 W,46.50626,-91.36704,46.50626,-91.36704,47,8,W
25,SUWS010053,46.371730 N, 91.216080 W,46.37173,-91.21608,46.37173,-91.21608,45,7,W
26,SUWS010054,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
27,SUWS010056,46.506260 N, 91.367040 W,46.50626,-91.36704,46.50626,-91.36704,47,8,W
28,SUWS010070,46.339910 N, 91.364460 W,46.33991,-91.36446,46.33991,-91.36446,45,8,W
29,SUWS010072,45.826940 N, 90.400430 W,45.82694,-90.40043,45.82694,-90.40043,39,1,E
30,SUWS010073,46.400730 N, 91.417150 W,46.40073,-91.41715,46.40073,-91.41715,45,8,W
31,SUWS010075,46.628870 N, 91.318530 W,46.62887,-91.31853,46.62887,-91.31853,48,8,W
32,SUWS010076,46.186610 N, 91.988150 W,46.18661,-91.98815,46.18661,-91.98815,43,13,W
33,SUWS010078,46.732160 N, 92.066300 W,46.73216,-92.0663,46.73216,-92.0663,49,14,W
34,SUWS010090,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
35,SUWS010091,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
36,SUWS010095,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
37,SUWS010097,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
38,SUWS010098,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
39,SUWS010103,46.694720 N, 91.992650 W,46.69472,-91.99265,46.69472,-91.99265,49,13,W
40,SUWS010119,46.130350 N, 90.668670 W,46.13035,-90.66867,46.13035,-90.66867,42,2,W
41,SUWS010121,46.336850 N, 91.362820 W,46.33685,-91.36282,46.33685,-91.36282,45,8,W
42,SUWS010126,46.478830 N, 91.602970 W,46.47883,-91.60297,46.47883,-91.60297,46,10,W
43,SUWS010131,46.434130 N, 91.675130 W,46.43413,-91.67513,46.43413,-91.67513,46,10,W
44,SUWS010136,46.554390 N, 92.240190 W,46.55439,-92.24019,46.55439,-92.24019,47,15,W
45,SUWS010138,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
46,SUWS010148,46.937990 N, 90.578520 W,46.93799,-90.57852,46.93799,-90.57852,52,2,W
47,SUWS010150,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
48,SUWS010152,46.388560 N, 91.269360 W,46.38856,-91.26936,46.38856,-91.26936,45,7,W
49,SUWS010159,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
50,SUWS010160,46.130350 N, 90.668670 W,46.13035,-90.66867,46.13035,-90.66867,42,2,W
51,SUWS010164,46.342280 N, 91.349010 W,46.34228,-91.34901,46.34228,-91.34901,45,8,W
52,SUWS010169,46.553000 N, 91.576580 W,46.553,-91.57658,46.553,-91.57658,47,10,W
53,SUWS010200,46.456690 N, 91.983970 W,46.45669,-91.98397,46.45669,-91.98397,46,13,W
54,SUWS010216,43.634580 N, 91.225660 W,43.63458,-91.22566,43.63458,-91.22566,13,7,W
55,SUWS010225,46.686710 N, 91.986380 W,46.68671,-91.98638,46.68671,-91.98638,49,13,W
