"catalogNumber","county","recordedBy_primary","recordedBy_secondary","recordedBy_tertiary"
"SUWS017546","Douglas","Hlina, Paul","",""
"SUWS017447","Douglas","Hlina, Matt","",""
"SUWS017444","Douglas","Hlina, Paul","",""
"SUWS017551","Douglas","Anderson, Derek S.","",""
"SUWS017507","Douglas","Senti, Peter","",""
"SUWS017404","Douglas","Anderson, Derek S.","",""
"SUWS017541","Douglas","Bergman, Nils","",""
"SUWS017554","Douglas","Bergman, Nils","",""
"SUWS017409","Douglas","Davidson, Donald W.","",""
"SUWS017540","Douglas","Bergman, Nils","",""
"SUWS017416","Douglas","Bergman, Nils","",""
"SUWS017424","Douglas","Anderson, Derek S.","",""
"SUWS017425","Douglas","Stauff, Janelle","",""
"SUWS017438","Douglas","Hlina, Paul","",""
"SUWS017439","Douglas","Hlina, Paul","",""
"SUWS017442","Douglas","Crook, Trista","",""
"SUWS017443","Douglas","Hlina, Paul","",""
"SUWS017445","Douglas","Anderson, Derek S.","",""
"SUWS017451","Douglas","Hlina, Paul","",""
"SUWS017452","Douglas","Bergman, Nils","",""
"SUWS017548","Douglas","Davidson, Donald W.","",""
"SUWS017550","Douglas","Davidson, Donald W.","",""
"SUWS017543","Douglas","Bergman, Nils","",""
"SUWS017431","Douglas","Crook, Trista","",""
"SUWS017430","Douglas","Crook, Trista","",""
"SUWS017450","Douglas","Stauff, Janelle","",""
"SUWS017410","Douglas","Anderson, Derek S.","",""
"SUWS017552","Douglas","Bergman, Nils","",""
"SUWS009540","Bayfield","Koch, Rudy G.","",""
"SUWS010000","Ashland","Brashier"," Thoren",""
"SUWS010001","Bayfield","Granlund, Marvin","",""
"SUWS010004","Bayfield","Koch, Rudy G.","",""
"SUWS010005","Bayfield","Koch, Rudy G.","",""
"SUWS010006","Douglas","Thomson, John W., Jr."," Fassett, Norman C.",""
"SUWS010007","Douglas","Zirngibl, William","",""
"SUWS010009","Douglas","Thomson, John W., Jr.","",""
"SUWS010010","Ashland","Davidson, Donald W."," Heim, Mike"," Johnson, Robbye"
"SUWS010011","Douglas","Zirngibl, William","",""
"SUWS010012","Ashland","Davidson, Donald W."," Johnson, Robbye"," Heim, Michael"
"SUWS010013","Bayfield","Koch, Rudy G.","",""
"SUWS010014","Bayfield","Zarling, Ruth","",""
"SUWS010015","Ashland","Richardson, Timothy","",""
"SUWS010018","Oneida","Trick, Joel A."," Krawczyk, J.",""
"SUWS010019","Douglas","Davidson, Donald W."," Zirngibl, William",""
"SUWS010020","Bayfield","Koch, Rudy G.","",""
"SUWS010023","Bayfield","Brashier"," Raatz",""
"SUWS010024","Bayfield","Zarling, Ruth","",""
"SUWS010025","Bayfield","Severson, Bob","",""
"SUWS010026","Bayfield","Mitchell, John A.","",""
"SUWS010027","Bayfield","Cherf"," Brashier",""
"SUWS010029","Marinette","Watson, Dale","",""
"SUWS010030","Bayfield","Zarling, Ruth","",""
"SUWS010031","Bayfield","Cherf"," Brashier",""
"SUWS010032","Bayfield","Crass, Donna","",""
"SUWS010033","Bayfield","Brashier"," Parrish",""
"SUWS010036","Douglas","Zirngibl, William","",""
"SUWS010037","Ashland","Davidson, Donald W."," Heim, Mike"," Johnson, Robbye"
"SUWS010039","Bayfield","Pilt, Karen","",""
"SUWS010040","Ashland","Davidson, Donald W."," Heim, Mike"," Johnson, Robbye"
"SUWS010042","Douglas","Zirngibl, William","",""
"SUWS010043","Sawyer","Heim, Michael","",""
"SUWS010044","Sawyer","Heim, Michael","",""
"SUWS010045","Rusk","Heim, Michael","",""
"SUWS010046","Sawyer","Heim, Michael","",""
"SUWS010048","Douglas","Davidson, Donald W."," Zirngibl, William",""
"SUWS010049","Douglas","Davidson, Donald W."," Zirngibl, William",""
"SUWS010050","Ashland","Davidson, Donald W."," Johnson, Robbye"," Heim, Michael"
"SUWS010051","Bayfield","Brashier"," Smith",""
"SUWS010052","Bayfield","Mitchell, John A.","",""
"SUWS010053","Bayfield","Johnson, Kurt","",""
"SUWS010054","Bayfield","Brashier"," Walvoord",""
