"county","num_spec","CollectedBy"
"Adams",1,"Catenhusen, John & Shinners, L. H."
"Ashland",44,"Koch, Rudy G."
"Barron",24,"Larson, Bradley B."
"Bayfield",518,"Brashier"
"Brown",1,"Fewless, Gary & Trick, Joel A."
"Buffalo",4,"Witkiewicz, E. J."
"Burnett",35,"Brashier"
"Chippewa",3,"Thompson, Kathy L."
"Columbia",1,"Smith, W. A. & Thomson, John W., Jr."
"Dane",6,"Thomson, John W., Jr."
"Dodge",3,"Christian, John R."
"Door",2,"Brashier & Romans"
"Douglas",532,"Thomson, John W., Jr."
"Dunn",2,"Barnard & Brashier"
"Eau Claire",5,"Brashier"
"Fond du Lac",3,"Purtell, Harriet M."
"Forest",2,"Bauknecht, Jamie & Kopetzky, Jonathan & Roth, Jessica"
"Grant",3,"Koch, Rudy G."
"Iowa",2,"Thomson, John W., Jr."
"Iron",27,"Koch, Rudy G."
"Jackson",9,"Thomson, John W., Jr."
"Jefferson",1,"Thomson, John W., Jr."
"Juneau",18,"Brashier & Romans"
"Kenosha",1,"Salamun, Peter J."
"La Crosse",29,"Nontelle, Deon M."
"Langlade",9,"Anderson, Derek S."
"Manitowoc",6,"Brashier & Romans"
"Marathon",4,"Smetak, Scott"
"Marinette",2,"Brashier & Koch, Rudy G. & Romans"
"Marquette",4,"Brashier & Romans"
"Monroe",11,"Sohmer, S. H."
"Oconto",2,"Brashier & Romans"
"Oneida",6,"Behn, T."
"Outagamie",1,"Harriman, Neil A. & Mollerskov, Al"
"Ozaukee",1,"Leitner, Lawrence A."
"Pepin",4,"Brashier & Romans"
"Pierce",5,"Brashier & Romans"
"Polk",310,"Anderson, Derek S."
"Price",5,"Anderson, Derek S."
"Racine",3,"Leitner, Lawrence A."
"Richland",11,"Koch, Rudy G."
"Rock",7,"Thomson, John W., Jr."
"Rusk",6,"Verdegan, Joseph"
"Sauk",2,"Cochrane, Barbara A. & Cochrane, Theodore S."
"Sawyer",5,"Davis, J. D."
"Sheboygan",3,"Brashier & Romans"
"St. Croix",16,"Brashier"
"Trempealeau",22,"Demaske, D."
"Vernon",11,"Sohmer, S. H."
"Vilas",7,"McGovern, Scott"
"Walworth",12,"Thomson, John W., Jr."
"Washburn",5,"Koch, Rudy G."
"Washington",1,"Hoagland, Beth A. & Leitner, Lawrence A."
"Waukesha",1,"Cull, Irene & Duffie, Judy & Leitner, Lawrence A."
"Waupaca",2,"Harriman, Neil A."
"Waushara",1,"Parfitt, Bruce"
"Winnebago",2,"Skinner, Dean"
