"county","collectedBy","num_spec"
"Ashland","Brashier",15
"Bayfield","Brashier",518
"Buffalo","Brashier",1
"Burnett","Brashier",35
"Door","Brashier",2
"Douglas","Brashier",186
"Douglas","Jones, Brashier",3
"Dunn","Brashier",2
"Eau Claire","Brashier",5
"Juneau","Brashier",18
"Manitowoc","Brashier",6
"Marinette","Brashier",2
"Marquette","Brashier",4
"Oconto","Brashier",2
"Pepin","Brashier",4
"Pierce","Brashier",5
"Polk","Brashier",21
"Sawyer","Brashier",2
"Sheboygan","Brashier",3
"St. Croix","Brashier",16
"Washburn","Brashier",3
