"OBJECTID","collected_specimens","CollectedBy"
26,3,"Anderson, Derek S."
28,25,"Anderson, Derek S."
35,17,"Anderson, Derek S."
41,2,"Anderson, Derek S."
42,57,"Anderson, Derek S."
50,2,"Anderson, Derek S."
53,9,"Anderson, Derek S."
54,36,"Anderson, Derek S."
72,3,"Anderson, Derek S."
73,2,"Anderson, Derek S."
74,1,"Anderson, Derek S."
89,3,"Anderson, Derek S."
92,1,"Anderson, Derek S."
156,3,"Anderson, Derek S."
176,4,"Anderson, Derek S."
184,4,"Anderson, Derek S."
200,1,"Anderson, Derek S."
219,1,"Anderson, Derek S."
327,2,"Anderson, Derek S."
332,3,"Anderson, Derek S."
379,13,"Anderson, Derek S."
380,14,"Anderson, Derek S."
383,45,"Anderson, Derek S."
422,1,"Anderson, Derek S."
509,4,"Anderson, Derek S."
512,222,"Anderson, Derek S."
542,9,"Anderson, Derek S."
555,3,"Anderson, Derek S."
1058,1,"Anderson, Derek S."
