"OBJECTID","collected_specimens","CollectedBy"
4,1,"Koch, Rudy G."
5,4,"Koch, Rudy G."
6,2,"Koch, Rudy G."
9,1,"Koch, Rudy G."
10,3,"Koch, Rudy G."
11,4,"Koch, Rudy G."
12,2,"Koch, Rudy G."
13,7,"Koch, Rudy G."
14,1,"Koch, Rudy G."
15,2,"Koch, Rudy G."
16,1,"Koch, Rudy G."
19,2,"Koch, Rudy G."
21,2,"Koch, Rudy G."
24,9,"Koch, Rudy G."
26,6,"Koch, Rudy G."
27,1,"Koch, Rudy G."
28,16,"Koch, Rudy G."
29,1,"Koch, Rudy G."
32,3,"Koch, Rudy G."
33,3,"Koch, Rudy G."
34,17,"Koch, Rudy G."
35,31,"Koch, Rudy G."
36,1,"Koch, Rudy G."
40,2,"Koch, Rudy G."
42,17,"Koch, Rudy G."
47,3,"Koch, Rudy G."
49,3,"Koch, Rudy G."
53,7,"Koch, Rudy G."
54,43,"Koch, Rudy G."
55,1,"Koch, Rudy G."
59,4,"Koch, Rudy G."
61,6,"Koch, Rudy G."
68,2,"Koch, Rudy G."
70,9,"Koch, Rudy G."
72,8,"Koch, Rudy G."
74,1,"Koch, Rudy G."
78,8,"Koch, Rudy G."
79,1,"Koch, Rudy G."
85,1,"Koch, Rudy G."
87,13,"Koch, Rudy G."
92,15,"Koch, Rudy G."
93,2,"Koch, Rudy G."
96,2,"Koch, Rudy G."
97,9,"Koch, Rudy G."
99,1,"Koch, Rudy G."
105,1,"Koch, Rudy G."
106,4,"Koch, Rudy G."
108,6,"Koch, Rudy G."
109,2,"Koch, Rudy G."
110,1,"Koch, Rudy G."
111,2,"Koch, Rudy G."
112,2,"Koch, Rudy G."
114,13,"Koch, Rudy G."
115,5,"Koch, Rudy G."
123,4,"Koch, Rudy G."
124,2,"Koch, Rudy G."
128,5,"Koch, Rudy G."
131,3,"Koch, Rudy G."
132,5,"Koch, Rudy G."
154,2,"Koch, Rudy G."
157,1,"Koch, Rudy G."
171,9,"Koch, Rudy G."
183,4,"Koch, Rudy G."
187,3,"Koch, Rudy G."
249,1,"Koch, Rudy G."
294,1,"Koch, Rudy G."
345,1,"Koch, Rudy G."
408,1,"Koch, Rudy G."
662,1,"Koch, Rudy G."
1136,2,"Koch, Rudy G."
1241,2,"Koch, Rudy G."
1280,2,"Koch, Rudy G."
1300,1,"Koch, Rudy G."
1397,4,"Koch, Rudy G."
1453,6,"Koch, Rudy G."
1478,3,"Koch, Rudy G."
1488,1,"Koch, Rudy G."
