"OBJECTID","collected_specimens","CollectedBy"
17,2,"Romans"
28,9,"Romans"
35,4,"Romans"
40,48,"Romans"
41,6,"Romans"
42,2,"Romans"
44,1,"Romans"
46,1,"Romans"
54,4,"Romans"
59,1,"Romans"
70,66,"Romans"
74,3,"Romans"
76,1,"Romans"
79,1,"Romans"
81,1,"Romans"
90,1,"Romans"
92,6,"Romans"
94,2,"Romans"
95,2,"Romans"
96,16,"Romans"
97,5,"Romans"
108,2,"Romans"
110,2,"Romans"
111,4,"Romans"
115,9,"Romans"
183,7,"Romans"
184,3,"Romans"
219,16,"Romans"
369,2,"Romans"
508,5,"Romans"
599,8,"Romans"
796,1,"Romans"
809,2,"Romans"
840,5,"Romans"
974,2,"Romans"
1056,1,"Romans"
1168,5,"Romans"
1254,4,"Romans"
1268,2,"Romans"
1277,6,"Romans"
1302,12,"Romans"
