OBJECTID,OBJECTID_1,DNR_REGION,DNR_CNTY_C,COUNTY_NAM,COUNTY_FIP,SHAPEAREA,SHAPELEN,Shape_Length,Shape_Area,Point_Count
1,1332,Northern Region,61,Taylor,119,2547273649,216140.0807,216140.0808,2547273649,309
2,1334,Northern Region,34,Langlade,67,2298178417,220898.3499,220898.3498,2298178416,252
3,1335,Northern Region,35,Lincoln,69,2346733942,193441.1732,193441.1733,2346733943,263
4,1336,Northern Region,55,Rusk,107,2409930944,211796.5668,211796.5668,2409930945,282
5,1337,Northern Region,3,Barron,5,2304013500,191882.6898,191882.6898,2304013500,229
6,1338,Northern Region,49,Polk,95,2477352684,237962.4896,237962.4894,2477352684,280
7,1340,Northern Region,44,Oneida,85,3200078055,260146.2471,260146.2471,3200078056,358
8,1341,Northern Region,51,Price,99,3307613324,232671.3276,232671.3275,3307613324,352
9,1342,Northern Region,19,Florence,37,1287732789,186024.2227,186024.2223,1287732789,121
10,1343,Northern Region,21,Forest,41,2708836355,256474.6095,256474.6097,2708836355,315
11,1344,Northern Region,58,Sawyer,113,3494980627,250615.2565,250615.2564,3494980627,390
12,1345,Northern Region,66,Washburn,129,2208826421,193998.1431,193998.143,2208826421,228
13,1346,Northern Region,7,Burnett,13,2278506549,255299.1908,255299.1909,2278506550,245
14,1347,Northern Region,64,Vilas,125,2634484406,250507.6723,250507.6723,2634484407,326
15,1348,Northern Region,26,Iron,51,2076555824,241955.5434,241955.5428,2076555824,216
16,1349,Northern Region,16,Douglas,31,3476446003,258177.0175,258177.0175,3476446003,405
17,1350,Northern Region,4,Bayfield,7,3914442993,342451.9804,342451.9792,3914442994,480
18,1351,Northern Region,2,Ashland,3,2729952138,526588.0655,526588.0659,2729952138,312
