OBJECTID,AREA,PERIMETER,TWPNW924_,TWPNW924_I,DTR,DIR,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area,Point_Count
1,88487979.11,38754.7911,27,26,24910,2,49,10,W,56529.9616,-188268216.2,11
2,77718721.67,35378.21444,29,28,24914,2,49,14,W,51584.99464,-165280556.2,13
3,55863880.81,35086.16969,36,35,24913,2,49,13,W,51155.43186,-118770516.2,5
4,62591815.28,32306.39967,37,36,24912,2,49,12,W,47094.56304,-133093670.8,2
5,62362088.46,32191.0526,38,37,24911,2,49,11,W,46928.14531,-132613600.2,8
6,8504813.691,13137.43303,39,38,24915,2,49,15,W,19167.30779,-18076677.2,0
7,78007655.78,40954.81081,40,39,24815,2,48,15,W,59645.83277,-165367283.7,22
8,93354961.12,38691.86308,41,40,24814,2,48,14,W,56342.06641,-197951445.5,19
9,92715991.97,38478.30907,42,41,24813,2,48,13,W,56033.34574,-196608512.8,16
10,94454828.51,38805.86346,43,42,24812,2,48,12,W,56511.47939,-200310871.4,19
11,92740802.49,38529.26177,44,43,24811,2,48,11,W,56110.85203,-196688173.8,26
12,93133062.76,38585.63205,45,44,24810,2,48,10,W,56194.03169,-197530488.7,16
13,87338259.18,37572.35729,54,53,24715,2,47,15,W,54625.41286,-184591071.2,11
14,93046297.92,38554.99919,55,54,24714,2,47,14,W,56052.94555,-196669532.4,22
15,92075680.42,38418.48386,56,55,24713,2,47,13,W,55856.37323,-194630124.1,25
16,93061629.28,38576.71456,57,56,24712,2,47,12,W,56088.38176,-196728761.1,20
17,92916091.48,38592.63057,58,57,24711,2,47,11,W,56113.51623,-196432674.9,25
18,93017478.21,38599.04619,60,59,24710,2,47,10,W,56124.16359,-196656797.2,19
19,92130815.8,38625.8977,71,70,24615,2,46,15,W,56065.77092,-194109187.3,13
20,91263021.28,38286.4416,73,72,24614,2,46,14,W,55574.92202,-192294731.7,19
21,91217588.84,38217.38926,74,73,24613,2,46,13,W,55476.58242,-192211460.2,9
22,92569109.44,38495.82171,75,74,24612,2,46,12,W,55882.36243,-195072090.1,13
23,90779411.81,38054.3467,76,75,24611,2,46,11,W,55243.71386,-191310777.2,18
24,89686608.73,37997.96554,77,76,24610,2,46,10,W,55163.02167,-189019554.7,13
25,93448752.55,38819.22112,90,89,24515,2,45,15,W,56258.34568,-196266118.5,24
26,92637422.28,38544.72248,91,90,24514,2,45,14,W,55862.36828,-194577981.2,24
27,92848054.23,38525.54814,92,91,24513,2,45,13,W,55836.31352,-195034152.1,24
28,91907771.86,38317.34269,93,92,24512,2,45,12,W,55536.73851,-193071541.5,20
29,91935915.84,38455.97818,94,93,24511,2,45,11,W,55738.48747,-193140537.5,19
30,91764861.57,38235.9787,95,94,24510,2,45,10,W,55422.4174,-192795301.1,13
31,92801636.89,38775.52469,108,107,24415,2,44,15,W,56105.82004,-194291100.9,21
32,93283171.14,38569.79217,109,108,24414,2,44,14,W,55810.82709,-195317368.9,22
33,93457446.76,38743.75814,110,109,24413,2,44,13,W,56063.98223,-195694739.7,18
34,92260885.54,38389.61452,111,110,24412,2,44,12,W,55554.14357,-193203912.2,18
35,93639473.03,38685.15446,112,111,24411,2,44,11,W,55982.93547,-196104304.6,17
36,91822239.27,38374.51743,113,112,24410,2,44,10,W,55535.93683,-192309055.6,19
37,93147159.66,38798.67945,129,128,24315,2,43,15,W,56051.16619,-194402916.5,18
38,93702317.63,38552.41398,130,129,24314,2,43,14,W,55697.21188,-195576282.9,12
39,93673818.22,38764.77032,131,130,24313,2,43,13,W,56006.12897,-195532378.5,21
40,92821642.86,38571.57332,132,131,24312,2,43,12,W,55729.47355,-193768883.7,14
41,92356855.93,38492.9876,133,132,24311,2,43,11,W,55618.06296,-192811592.2,14
42,91747061.84,38385.88238,134,133,24310,2,43,10,W,55465.12702,-191549405.9,13
