OBJECTID,AREA,PERIMETER,TWPNW924_,TWPNW924_I,DTR,DIR,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area,Point_Count
1,25985241.98,22562.2668,2,1,45301,4,53,1,E,33145.08302,-56004164.91,0
2,76856532.05,35197.08225,3,2,25301,2,53,1,W,51664.22054,-165634076,1
3,77651743.23,35374.06926,4,3,25302,2,53,2,W,51920.15887,-167329253.4,0
4,59663848,35079.94524,5,4,25303,2,53,3,W,51477.2409,-128511269.4,0
5,64730174.78,38498.22056,6,5,25205,2,52,5,W,56425.57766,-139040071.7,0
6,89814872.3,37947.757,7,6,25204,2,52,4,W,55618.70603,-192958463,0
7,5251590.006,9706.196932,8,7,45201,4,52,1,E,14230.51518,-11300033.76,0
8,104186097.7,41016.19777,9,8,25201,2,52,1,W,60124.51546,-223813775.6,0
9,106551216.4,41047.61986,10,9,25202,2,52,2,W,60165.08612,-228874024.9,0
10,94641833.87,38893.17183,11,10,25203,2,52,3,W,57004.40252,-203283341.6,0
11,92598704.94,38536.8571,12,11,25105,2,51,5,W,56396.38346,-198313251.6,1
12,92753382.07,38561.14646,13,12,25104,2,51,4,W,56432.2759,-198647629.9,4
13,83782978.55,37569.85042,14,13,25103,2,51,3,W,54978.06051,-179401924.7,1
14,81987268.8,36389.77446,15,14,25102,2,51,2,W,53240.94659,-175543954.1,1
15,55104397.75,32166.73578,16,15,25101,2,51,1,W,47065.34756,-118033476.6,0
16,22530984.61,22202.63814,17,16,25107,2,51,7,W,32469.65134,-48203966.34,0
17,45278788.06,28565.64686,18,17,25106,2,51,6,W,41765.03559,-96888947.44,1
18,92254479.34,38487.2563,19,18,25007,2,50,7,W,56233.02034,-196934952.8,0
19,90896495.57,38136.79447,20,19,25006,2,50,6,W,55721.07415,-194038006.5,2
20,91806365.78,38393.72455,21,20,25005,2,50,5,W,56096.62946,-195987243.2,2
21,92087533.76,38360.57946,22,21,25004,2,50,4,W,56048.79006,-196591880.1,3
22,89426234.52,38032.92636,23,22,25003,2,50,3,W,55569.65795,-190907643.3,1
23,35516155.35,35384.65456,24,23,25002,2,50,2,W,51707.67132,-75863294.59,0
24,59205462.2,35364.31297,25,24,25008,2,50,8,W,51650.8737,-126313949,1
25,13356008.69,19546.49253,26,25,25009,2,50,9,W,28526.96806,-28473828.51,0
26,88487979.11,38754.7911,27,26,24910,2,49,10,W,56529.9616,-188268216.2,2
27,91866629.81,38449.62807,28,27,24909,2,49,9,W,56086.31604,-195470950.4,4
28,77718721.67,35378.21444,29,28,24914,2,49,14,W,51584.99464,-165280556.2,4
29,89690698.26,37906.99996,30,29,24908,2,49,8,W,55295.22226,-190845506.6,2
30,91349216.11,38174.12911,31,30,24907,2,49,7,W,55685.57447,-194381435.3,2
31,90771156.6,38160.98378,32,31,24906,2,49,6,W,55667.40612,-193157698.4,2
32,92679919.47,38471.54815,33,32,24905,2,49,5,W,56120.38532,-197223802.2,3
33,91936275.56,38316.83706,34,33,24904,2,49,4,W,55896.17631,-195646032,2
34,91893705.25,38375.05251,35,34,24903,2,49,3,W,55981.566,-195560724.3,0
35,55863880.81,35086.16969,36,35,24913,2,49,13,W,51155.43186,-118770516.2,0
36,62591815.28,32306.39967,37,36,24912,2,49,12,W,47094.56304,-133093670.8,1
37,62362088.46,32191.0526,38,37,24911,2,49,11,W,46928.14531,-132613600.2,0
38,8504813.691,13137.43303,39,38,24915,2,49,15,W,19167.30779,-18076677.2,0
39,78007655.78,40954.81081,40,39,24815,2,48,15,W,59645.83277,-165367283.7,1
40,93354961.12,38691.86308,41,40,24814,2,48,14,W,56342.06641,-197951445.5,2
41,92715991.97,38478.30907,42,41,24813,2,48,13,W,56033.34574,-196608512.8,2
42,94454828.51,38805.86346,43,42,24812,2,48,12,W,56511.47939,-200310871.4,1
43,92740802.49,38529.26177,44,43,24811,2,48,11,W,56110.85203,-196688173.8,2
44,93133062.76,38585.63205,45,44,24810,2,48,10,W,56194.03169,-197530488.7,3
45,91804710.36,38345.6757,46,45,24809,2,48,9,W,55845.7629,-194722012.1,1
46,90096815.94,37938.03931,47,46,24808,2,48,8,W,55253.62776,-191106244,3
47,90743090.66,38231.61994,48,47,24807,2,48,7,W,55681.9181,-192483814.3,0
48,92796671.94,38487.48808,49,48,24806,2,48,6,W,56055.14112,-196841542.1,1
49,94397726.12,38799.33356,50,49,24805,2,48,5,W,56509.06586,-200242065.1,3
50,91504484.02,38449.65339,51,50,24804,2,48,4,W,56000.95776,-194110710.4,0
51,92683524.15,38476.10057,52,51,24803,2,48,3,W,56040.14218,-196617063.6,4
52,40931811.21,35341.54306,53,52,24802,2,48,2,W,51451.8834,-86774981.76,0
53,87338259.18,37572.35729,54,53,24715,2,47,15,W,54625.41286,-184591071.2,2
54,93046297.92,38554.99919,55,54,24714,2,47,14,W,56052.94555,-196669532.4,2
55,92075680.42,38418.48386,56,55,24713,2,47,13,W,55856.37323,-194630124.1,1
56,93061629.28,38576.71456,57,56,24712,2,47,12,W,56088.38176,-196728761.1,1
57,92916091.48,38592.63057,58,57,24711,2,47,11,W,56113.51623,-196432674.9,3
58,5402994.148,10017.33381,59,58,24801,2,48,1,W,14572.13508,-11446991.62,0
59,93017478.21,38599.04619,60,59,24710,2,47,10,W,56124.16359,-196656797.2,3
60,93150377.2,38547.99875,61,60,24709,2,47,9,W,56052.09524,-196950517.9,1
61,91796993.66,38434.98866,62,61,24708,2,47,8,W,55889.28818,-194098935.4,1
62,92435161.26,38299.2142,63,62,24707,2,47,7,W,55692.0074,-195452882.4,1
63,91045971.18,38148.58463,64,63,24706,2,47,6,W,55472.68706,-192517017.1,0
64,91334013.36,38268.80256,65,64,24705,2,47,5,W,55647.88598,-193132883.5,3
65,91988196.04,38337.2494,66,65,24704,2,47,4,W,55748.89701,-194523889.9,3
66,92439415.37,38335.14316,67,66,24703,2,47,3,W,55746.32748,-195480328.4,2
67,91815762.93,38390.00827,68,67,24702,2,47,2,W,55826.48776,-194163734.6,3
68,82892318.22,37837.55345,69,68,24701,2,47,1,W,55020.79674,-175268666,2
69,44653956.95,41905.63687,70,69,44701,4,47,1,E,60924.96281,-94360547.65,0
70,92130815.8,38625.8977,71,70,24615,2,46,15,W,56065.77092,-194109187.3,1
71,6396107.236,21124.20329,72,71,44702,4,47,2,E,30686.24827,-13508824.63,0
72,91263021.28,38286.4416,73,72,24614,2,46,14,W,55574.92202,-192294731.7,1
73,91217588.84,38217.38926,74,73,24613,2,46,13,W,55476.58242,-192211460.2,1
74,92569109.44,38495.82171,75,74,24612,2,46,12,W,55882.36243,-195072090.1,4
75,90779411.81,38054.3467,76,75,24611,2,46,11,W,55243.71386,-191310777.2,3
76,89686608.73,37997.96554,77,76,24610,2,46,10,W,55163.02167,-189019554.7,2
77,91691680.82,38227.42874,78,77,24609,2,46,9,W,55497.58041,-193253555.1,2
78,92663036.76,38499.34656,79,78,24608,2,46,8,W,55893.72079,-195307262.3,0
79,93818584.83,38705.7976,80,79,24607,2,46,7,W,56194.27049,-197749977.5,3
80,94488153.29,38925.20716,81,80,24606,2,46,6,W,56513.55155,-199164487.2,3
81,95223199.52,39041.8968,82,81,24605,2,46,5,W,56683.8501,-200719773.1,2
82,94155832.22,38805.89299,83,82,24604,2,46,4,W,56341.94811,-198475689.3,0
83,92753445.24,38559.32206,84,83,24603,2,46,3,W,55984.99699,-195526278.8,2
84,93040110.66,38540.41058,85,84,24602,2,46,2,W,55957.30351,-196131545.9,0
85,91625090.31,38317.15881,86,85,24601,2,46,1,W,55633.74821,-193150127.5,0
86,92690877.37,38538.19039,87,86,44601,4,46,1,E,55954.63849,-195401002,3
87,81291365.35,38613.20025,88,87,44602,4,46,2,E,56059.99874,-171349286.6,1
88,3364531.926,8923.434611,89,88,44603,4,46,3,E,12956.85046,-7084575.112,0
89,93448752.55,38819.22112,90,89,24515,2,45,15,W,56258.34568,-196266118.5,2
90,92637422.28,38544.72248,91,90,24514,2,45,14,W,55862.36828,-194577981.2,2
91,92848054.23,38525.54814,92,91,24513,2,45,13,W,55836.31352,-195034152.1,1
92,91907771.86,38317.34269,93,92,24512,2,45,12,W,55536.73851,-193071541.5,2
93,91935915.84,38455.97818,94,93,24511,2,45,11,W,55738.48747,-193140537.5,1
94,91764861.57,38235.9787,95,94,24510,2,45,10,W,55422.4174,-192795301.1,1
95,91868405.64,38314.60928,96,95,24509,2,45,9,W,55537.05062,-193017972.3,2
96,92054397.66,38461.88047,97,96,24508,2,45,8,W,55750.6163,-193412914.3,2
97,92482175.4,38459.07192,98,97,24507,2,45,7,W,55747.3637,-194318331.2,2
98,92915910.87,38568.59635,99,98,24506,2,45,6,W,55905.63439,-195230373.3,2
99,92955636.32,38517.68432,100,99,24505,2,45,5,W,55833.15485,-195317155.9,0
100,93389785.25,38707.53882,101,100,24504,2,45,4,W,56109.29373,-196235816.5,1
101,91395240.03,38361.72155,102,101,24503,2,45,3,W,55609.58575,-192053488.7,1
102,92754707.8,38514.77806,103,102,24502,2,45,2,W,55831.89314,-194914113,2
103,92014613.04,38382.32061,104,103,24501,2,45,1,W,55640.3518,-193360140.1,2
104,93406161.35,38439.0321,105,104,44501,4,45,1,E,55722.95308,-196287616.9,1
105,91238540.84,38408.135,106,105,44502,4,45,2,E,55677.84432,-191731241.6,2
106,33877783.13,36649.94137,107,106,44503,4,45,3,E,53118.39857,-71167879.07,1
