"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
49,"N",10,"W",11,49,38,3.29027343553321,11.5491921095737
49,"N",14,"W",13,109,96,3.57167111201103,26.8781746665211
49,"N",13,"W",5,63,58,2.22801004867088,26.0321985686734
49,"N",12,"W",2,6,4,1.41217725669143,2.83250560865959
49,"N",11,"W",8,5,-3,2.81210129068367,-1.0668179023063
49,"N",15,"W",0,0,0,0,NA
48,"N",15,"W",22,0,-22,4.61558199172132,-4.76646282948933
48,"N",14,"W",19,17,-2,4.29890399282984,-0.465234860637923
48,"N",13,"W",16,8,-8,3.95368874296637,-2.02342686035466
48,"N",12,"W",19,105,86,4.29890399282984,20.0050990074307
48,"N",11,"W",26,0,-26,5.00273306598467,-5.19715916421427
48,"N",10,"W",16,3,-13,3.95368874296637,-3.28806864807632
47,"N",15,"W",11,14,3,3.29027343553321,0.911778324440025
47,"N",14,"W",22,55,33,4.61558199172132,7.14969424423399
47,"N",13,"W",25,1,-24,4.90924835636378,-4.88873209457599
47,"N",12,"W",20,1,-19,4.40731896186953,-4.31101088085089
47,"N",11,"W",25,3,-22,4.90924835636378,-4.48133775336132
47,"N",10,"W",19,85,66,4.29890399282984,15.3527504010515
46,"N",15,"W",13,23,10,3.57167111201103,2.79980986109595
46,"N",14,"W",19,4,-15,4.29890399282984,-3.48926145478442
46,"N",13,"W",9,12,3,2.9805122441302,1.00653839148226
46,"N",12,"W",13,1,-12,3.57167111201103,-3.35977183331513
46,"N",11,"W",18,3,-15,4.18733960285529,-3.58222676512115
46,"N",10,"W",13,57,44,3.57167111201103,12.3191633888222
45,"N",15,"W",24,1,-23,4.81364965712948,-4.77807934483449
45,"N",14,"W",24,0,-24,4.81364965712948,-4.98582192504469
45,"N",13,"W",24,14,-10,4.81364965712948,-2.07742580210195
45,"N",12,"W",20,8,-12,4.40731896186953,-2.72274371422162
45,"N",11,"W",19,32,13,4.29890399282984,3.0240265941465
45,"N",10,"W",13,0,-13,3.57167111201103,-3.63975281942473
44,"N",15,"W",21,0,-21,4.5128114990435,-4.65341838551222
44,"N",14,"W",22,1,-21,4.61558199172132,-4.5498054281489
44,"N",13,"W",18,0,-18,4.18733960285529,-4.29867211814538
44,"N",12,"W",18,5,-13,4.18733960285529,-3.10459652977167
44,"N",11,"W",17,0,-17,4.07236696061032,-4.17447645667282
44,"N",10,"W",19,0,-19,4.29890399282984,-4.41973117606027
43,"N",15,"W",18,3,-15,4.18733960285529,-3.58222676512115
43,"N",14,"W",12,2,-10,3.43406548501855,-2.91200038078074
43,"N",13,"W",21,0,-21,4.5128114990435,-4.65341838551222
43,"N",12,"W",14,1,-13,3.70377990862184,-3.50992778208499
43,"N",11,"W",14,4,-10,3.70377990862184,-2.69994444775769
43,"N",10,"W",13,0,-13,3.57167111201103,-3.63975281942473
