"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
49,"N",10,"W",11,49,38,3.29027343553321,11.5491921095737,1663,56529.9616,-188268216.2
49,"N",14,"W",13,109,96,3.57167111201103,26.8781746665211,1667,51584.99464,-165280556.2
49,"N",13,"W",5,63,58,2.22801004867088,26.0321985686734,1666,51155.43186,-118770516.2
49,"N",12,"W",2,6,4,1.41217725669143,2.83250560865959,1665,47094.56304,-133093670.8
49,"N",11,"W",8,5,-3,2.81210129068367,-1.0668179023063,1664,46928.14531,-132613600.2
49,"N",15,"W",0,0,0,0,NA,1668,19167.30779,-18076677.2
48,"N",15,"W",22,0,-22,4.61558199172132,-4.76646282948933,1655,59645.83277,-165367283.7
48,"N",14,"W",19,17,-2,4.29890399282984,-0.465234860637923,1654,56342.06641,-197951445.5
48,"N",13,"W",16,8,-8,3.95368874296637,-2.02342686035466,1653,56033.34574,-196608512.8
48,"N",12,"W",19,105,86,4.29890399282984,20.0050990074307,1652,56511.47939,-200310871.4
48,"N",11,"W",26,0,-26,5.00273306598467,-5.19715916421427,1651,56110.85203,-196688173.8
48,"N",10,"W",16,3,-13,3.95368874296637,-3.28806864807632,1650,56194.03169,-197530488.7
47,"N",15,"W",11,14,3,3.29027343553321,0.911778324440025,1640,54625.41286,-184591071.2
47,"N",14,"W",22,55,33,4.61558199172132,7.14969424423399,1639,56052.94555,-196669532.4
47,"N",13,"W",25,1,-24,4.90924835636378,-4.88873209457599,1638,55856.37323,-194630124.1
47,"N",12,"W",20,1,-19,4.40731896186953,-4.31101088085089,1637,56088.38176,-196728761.1
47,"N",11,"W",25,3,-22,4.90924835636378,-4.48133775336132,1636,56113.51623,-196432674.9
47,"N",10,"W",19,85,66,4.29890399282984,15.3527504010515,1635,56124.16359,-196656797.2
46,"N",15,"W",13,23,10,3.57167111201103,2.79980986109595,1623,56065.77092,-194109187.3
46,"N",14,"W",19,4,-15,4.29890399282984,-3.48926145478442,1622,55574.92202,-192294731.7
46,"N",13,"W",9,12,3,2.9805122441302,1.00653839148226,1621,55476.58242,-192211460.2
46,"N",12,"W",13,1,-12,3.57167111201103,-3.35977183331513,1620,55882.36243,-195072090.1
46,"N",11,"W",18,3,-15,4.18733960285529,-3.58222676512115,1619,55243.71386,-191310777.2
46,"N",10,"W",13,57,44,3.57167111201103,12.3191633888222,1618,55163.02167,-189019554.7
45,"N",15,"W",24,1,-23,4.81364965712948,-4.77807934483449,1605,56258.34568,-196266118.5
45,"N",14,"W",24,0,-24,4.81364965712948,-4.98582192504469,1604,55862.36828,-194577981.2
45,"N",13,"W",24,14,-10,4.81364965712948,-2.07742580210195,1603,55836.31352,-195034152.1
45,"N",12,"W",20,8,-12,4.40731896186953,-2.72274371422162,1602,55536.73851,-193071541.5
45,"N",11,"W",19,32,13,4.29890399282984,3.0240265941465,1601,55738.48747,-193140537.5
45,"N",10,"W",13,0,-13,3.57167111201103,-3.63975281942473,1600,55422.4174,-192795301.1
44,"N",15,"W",21,0,-21,4.5128114990435,-4.65341838551222,1587,56105.82004,-194291100.9
44,"N",14,"W",22,1,-21,4.61558199172132,-4.5498054281489,1586,55810.82709,-195317368.9
44,"N",13,"W",18,0,-18,4.18733960285529,-4.29867211814538,1585,56063.98223,-195694739.7
44,"N",12,"W",18,5,-13,4.18733960285529,-3.10459652977167,1584,55554.14357,-193203912.2
44,"N",11,"W",17,0,-17,4.07236696061032,-4.17447645667282,1583,55982.93547,-196104304.6
44,"N",10,"W",19,0,-19,4.29890399282984,-4.41973117606027,1582,55535.93683,-192309055.6
43,"N",15,"W",18,3,-15,4.18733960285529,-3.58222676512115,1565,56051.16619,-194402916.5
43,"N",14,"W",12,2,-10,3.43406548501855,-2.91200038078074,1564,55697.21188,-195576282.9
43,"N",13,"W",21,0,-21,4.5128114990435,-4.65341838551222,1563,56006.12897,-195532378.5
43,"N",12,"W",14,1,-13,3.70377990862184,-3.50992778208499,1562,55729.47355,-193768883.7
43,"N",11,"W",14,4,-10,3.70377990862184,-2.69994444775769,1561,55618.06296,-192811592.2
43,"N",10,"W",13,0,-13,3.57167111201103,-3.63975281942473,1560,55465.12702,-191549405.9
