"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index","OBJECTID","Shape_Length","Shape_Area"
53,"N",1,"E",1,0,-1,0.999708242152798,-1.00029184299469,1690,33145.08302,-56004164.91
53,"N",1,"W",1,0,-1,0.999708242152798,-1.00029184299469,1691,51664.22054,-165634076
53,"N",2,"W",1,0,-1,0.999708242152798,-1.00029184299469,1692,51920.15887,-167329253.4
53,"N",3,"W",0,0,0,0,NA,1693,51477.2409,-128511269.4
52,"N",5,"W",0,4,4,0,Inf,1689,56425.57766,-139040071.7
52,"N",4,"W",0,2,2,0,Inf,1688,55618.70603,-192958463
52,"N",1,"E",0,0,0,0,NA,1684,14230.51518,-11300033.76
52,"N",1,"W",0,0,0,0,NA,1685,60124.51546,-223813775.6
52,"N",2,"W",2,5,3,1.41338822611233,2.12255907087313,1686,60165.08612,-228874024.9
52,"N",3,"W",2,1,-1,1.41338822611233,-0.707519690291042,1687,57004.40252,-203283341.6
51,"N",5,"W",6,0,-6,2.44519866256641,-2.45378835341852,1681,56396.38346,-198313251.6
51,"N",4,"W",1,2,1,0.999708242152798,1.00029184299469,1680,56432.2759,-198647629.9
51,"N",3,"W",1,2,1,0.999708242152798,1.00029184299469,1679,54978.06051,-179401924.7
51,"N",2,"W",0,1,1,0,Inf,1678,53240.94659,-175543954.1
51,"N",1,"W",1,1,1.11022302462516e-16,0.999708242152798,1.11054703543743e-16,1677,47065.34756,-118033476.6
51,"N",7,"W",0,0,0,0,NA,1683,32469.65134,-48203966.34
51,"N",6,"W",0,0,0,0,NA,1682,41765.03559,-96888947.44
50,"N",7,"W",2,0,-2,1.41338822611233,-1.41503938058208,1674,56233.02034,-196934952.8
50,"N",6,"W",2,2,2.22044604925031e-16,1.41338822611233,1.57100930107355e-16,1673,55721.07415,-194038006.5
50,"N",5,"W",3,0,-3,1.73053434662654,-1.73356859738041,1672,56096.62946,-195987243.2
50,"N",4,"W",0,0,0,0,NA,1671,56048.79006,-196591880.1
50,"N",3,"W",2,0,-2,1.41338822611233,-1.41503938058208,1670,55569.65795,-190907643.3
50,"N",2,"W",0,2,2,0,Inf,1669,51707.67132,-75863294.59
50,"N",8,"W",2,6,4,1.41338822611233,2.83007876116417,1675,51650.8737,-126313949
50,"N",9,"W",0,0,0,0,NA,1676,28526.96806,-28473828.51
49,"N",10,"W",5,49,44,2.23280411942157,19.7061621381273,1663,56529.9616,-188268216.2
49,"N",9,"W",6,1,-5,2.44519866256641,-2.04482362784877,1662,56086.31604,-195470950.4
49,"N",14,"W",4,109,105,1.99766491455695,52.5613676422242,1667,51584.99464,-165280556.2
49,"N",8,"W",4,0,-4,1.99766491455695,-2.00233781494187,1661,55295.22226,-190845506.6
49,"N",7,"W",4,0,-4,1.99766491455695,-2.00233781494187,1660,55685.57447,-194381435.3
49,"N",6,"W",5,0,-5,2.23280411942157,-2.23933660660537,1659,55667.40612,-193157698.4
49,"N",5,"W",2,0,-2,1.41338822611233,-1.41503938058208,1658,56120.38532,-197223802.2
49,"N",4,"W",0,2,2,0,Inf,1657,55896.17631,-195646032
49,"N",3,"W",0,2,2,0,Inf,1656,55981.566,-195560724.3
49,"N",13,"W",1,63,62,0.999708242152798,62.0180942656705,1666,51155.43186,-118770516.2
49,"N",12,"W",0,6,6,0,Inf,1665,47094.56304,-133093670.8
49,"N",11,"W",1,5,4,0.999708242152798,4.00116737197874,1664,46928.14531,-132613600.2
49,"N",15,"W",0,0,0,0,NA,1668,19167.30779,-18076677.2
48,"N",15,"W",2,0,-2,1.41338822611233,-1.41503938058208,1655,59645.83277,-165367283.7
48,"N",14,"W",7,17,10,2.64034314095416,3.7873865123403,1654,56342.06641,-197951445.5
48,"N",13,"W",1,8,7,0.999708242152798,7.0020429009628,1653,56033.34574,-196608512.8
48,"N",12,"W",3,105,102,1.73053434662654,58.9413323109341,1652,56511.47939,-200310871.4
48,"N",11,"W",5,0,-5,2.23280411942157,-2.23933660660537,1651,56110.85203,-196688173.8
48,"N",10,"W",0,3,3,0,Inf,1650,56194.03169,-197530488.7
48,"N",9,"W",4,9,5,1.99766491455695,2.50292226867734,1649,55845.7629,-194722012.1
48,"N",8,"W",4,0,-4,1.99766491455695,-2.00233781494187,1648,55253.62776,-191106244
