"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
49,"N",10,"W",21,63,42,4.53420334788814,9.26292818771836
49,"N",14,"W",20,333,313,4.42718872423573,70.6994934023359
49,"N",13,"W",7,229,222,2.63647491928143,84.2033422644909
49,"N",12,"W",3,5,2,1.72945077987204,1.15643649606957
49,"N",11,"W",11,0,-11,3.29833291224521,-3.3350181114714
49,"N",15,"W",0,3,3,0,Inf
48,"N",15,"W",22,1,-21,4.63853425124791,-4.52729221398987
48,"N",14,"W",27,11,-16,5.12552436341883,-3.12163183033388
48,"N",13,"W",26,29,3,5.03229569878401,0.596149387788344
48,"N",12,"W",23,46,23,4.74035863622152,4.85195356829225
48,"N",11,"W",41,0,-41,6.27048642451285,-6.53856770022195
48,"N",10,"W",24,1,-23,4.83983470792134,-4.75222841027112
47,"N",15,"W",24,150,126,4.83983470792134,26.0339469432244
47,"N",14,"W",26,22,-4,5.03229569878401,-0.794865850384458
47,"N",13,"W",29,11,-18,5.30650544143695,-3.39206285542332
47,"N",12,"W",21,11,-10,4.53420334788814,-2.2054590923139
47,"N",11,"W",29,8,-21,5.30650544143695,-3.95740666466054
47,"N",10,"W",25,22,-3,4.93710441453287,-0.6076436202502
46,"N",15,"W",27,27,0,5.12552436341883,0
46,"N",14,"W",19,2,-17,4.31729081716764,-3.93765458940125
46,"N",13,"W",17,1,-16,4.08790900094413,-3.9139814502487
46,"N",12,"W",28,3,-25,5.2168956286282,-4.79212193987746
46,"N",11,"W",24,7,-17,4.83983470792134,-3.51251665106996
46,"N",10,"W",27,5,-22,5.12552436341883,-4.29224376670908
45,"N",15,"W",30,0,-30,5.39444158370447,-5.56127998320049
45,"N",14,"W",33,0,-33,5.64898220921256,-5.84176029908227
45,"N",13,"W",14,0,-14,3.71537346709587,-3.76812724857594
45,"N",12,"W",28,5,-23,5.2168956286282,-4.40875218468726
45,"N",11,"W",24,3,-21,4.83983470792134,-4.33899115720407
45,"N",10,"W",37,0,-37,5.96917079668525,-6.19851588440836
44,"N",15,"W",20,0,-20,4.42718872423573,-4.51753951452626
44,"N",14,"W",33,0,-33,5.64898220921256,-5.84176029908227
44,"N",13,"W",23,0,-23,4.74035863622152,-4.85195356829225
44,"N",12,"W",24,0,-24,4.83983470792134,-4.95884703680465
44,"N",11,"W",27,0,-27,5.12552436341883,-5.26775371368842
44,"N",10,"W",30,0,-30,5.39444158370447,-5.56127998320049
43,"N",15,"W",29,0,-29,5.30650544143695,-5.46499015595979
43,"N",14,"W",31,0,-31,5.48078461536302,-5.65612447405885
43,"N",13,"W",25,0,-25,4.93710441453287,-5.06369683541833
43,"N",12,"W",19,0,-19,4.31729081716764,-4.40090807050727
43,"N",11,"W",30,2,-28,5.39444158370447,-5.19052798432045
43,"N",10,"W",22,0,-22,4.63853425124791,-4.7428775575132
