"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
53,"N",1,"E",0,0,0,0,NA
53,"N",1,"W",1,0,-1,0.999525504125125,-1.00047472112809
53,"N",2,"W",0,0,0,0,NA
53,"N",3,"W",0,0,0,0,NA
52,"N",5,"W",0,0,0,0,NA
52,"N",4,"W",0,1,1,0,Inf
52,"N",1,"E",0,0,0,0,NA
52,"N",1,"W",0,0,0,0,NA
52,"N",2,"W",0,0,0,0,NA
52,"N",3,"W",0,0,0,0,NA
51,"N",5,"W",1,0,-1,0.999525504125125,-1.00047472112809
51,"N",4,"W",4,0,-4,1.9962013261055,-2.0038059025859
51,"N",3,"W",1,0,-1,0.999525504125125,-1.00047472112809
51,"N",2,"W",1,0,-1,0.999525504125125,-1.00047472112809
51,"N",1,"W",0,0,0,0,NA
51,"N",7,"W",0,0,0,0,NA
51,"N",6,"W",1,0,-1,0.999525504125125,-1.00047472112809
50,"N",7,"W",0,0,0,0,NA
50,"N",6,"W",2,0,-2,1.41287116666253,-1.4155572335193
50,"N",5,"W",2,0,-2,1.41287116666253,-1.4155572335193
50,"N",4,"W",3,0,-3,1.7295840831163,-1.73452105005193
50,"N",3,"W",1,0,-1,0.999525504125125,-1.00047472112809
50,"N",2,"W",0,0,0,0,NA
50,"N",8,"W",1,0,-1,0.999525504125125,-1.00047472112809
50,"N",9,"W",0,0,0,0,NA
49,"N",10,"W",2,63,61,1.41287116666253,43.1744956223387
49,"N",9,"W",4,0,-4,1.9962013261055,-2.0038059025859
49,"N",14,"W",4,333,329,1.9962013261055,164.81303548769
49,"N",8,"W",2,0,-2,1.41287116666253,-1.4155572335193
49,"N",7,"W",2,0,-2,1.41287116666253,-1.4155572335193
49,"N",6,"W",2,1,-1,1.41287116666253,-0.707778616759651
49,"N",5,"W",3,0,-3,1.7295840831163,-1.73452105005193
49,"N",4,"W",2,0,-2,1.41287116666253,-1.4155572335193
49,"N",3,"W",0,3,3,0,Inf
49,"N",13,"W",0,229,229,0,Inf
49,"N",12,"W",1,5,4,0.999525504125125,4.00189888451237
49,"N",11,"W",0,0,0,0,NA
49,"N",15,"W",0,3,3,0,Inf
48,"N",15,"W",1,1,0,0.999525504125125,0
48,"N",14,"W",2,11,9,1.41287116666253,6.37000755083686
48,"N",13,"W",2,29,27,1.41287116666253,19.1100226525106
48,"N",12,"W",1,46,45,0.999525504125125,45.0213624507642
48,"N",11,"W",2,0,-2,1.41287116666253,-1.4155572335193
48,"N",10,"W",3,1,-2,1.7295840831163,-1.15634736670129
48,"N",9,"W",1,0,-1,0.999525504125125,-1.00047472112809
48,"N",8,"W",3,4,1,1.7295840831163,0.578173683350645
48,"N",7,"W",0,0,0,0,NA
48,"N",6,"W",1,1,0,0.999525504125125,0
48,"N",5,"W",3,0,-3,1.7295840831163,-1.73452105005193
48,"N",4,"W",0,0,0,0,NA
48,"N",3,"W",4,0,-4,1.9962013261055,-2.0038059025859
48,"N",2,"W",0,0,0,0,NA
47,"N",15,"W",2,150,148,1.41287116666253,104.751235280428
47,"N",14,"W",2,22,20,1.41287116666253,14.155572335193
47,"N",13,"W",1,11,10,0.999525504125125,10.0047472112809
47,"N",12,"W",1,11,10,0.999525504125125,10.0047472112809
