"County","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
"Kenosha",29,1,-28,5.37173602494356,-5.21246760264885
"Lafayette",70,0,-70,8.31615084177078,-8.41735573727216
"Rock",72,8,-64,8.43264989995908,-7.5895478597197
"Walworth",51,9,-42,7.11008061185743,-5.90710602211132
"Green",48,0,-48,6.89958402402412,-6.95694114788161
"Racine",43,4,-39,6.53317775224471,-5.96952991009622
"Jefferson",61,0,-61,7.76922599442103,-7.85148997387941
"Waukesha",59,3,-56,7.64212637292974,-7.32780344988347
"Iowa",72,4,-68,8.43264989995908,-8.06389460095218
"Milwaukee",23,0,-23,4.78634910483443,-4.80533272777135
"Grant",129,4,-125,11.2312823792222,-11.1296284591018
"Dane",125,3,-122,11.0596661052369,-11.0310744320058
"Crawford",59,0,-59,7.64212637292974,-7.72036434898437
"Richland",53,15,-38,7.24689725004172,-5.24362340031538
"Washington",56,2,-54,7.44723797704722,-7.25101039693251
"Ozaukee",21,1,-20,4.57430353541144,-4.3722502989083
"Dodge",95,3,-92,9.66694602312163,-9.51696634903642
"Sauk",87,5,-82,9.25742573802715,-8.85775401504598
"Columbia",83,1,-82,9.04526006514847,-9.06552154491912
"Vernon",85,32,-53,9.15199527533492,-5.79108690569778
"Sheboygan",62,4,-58,7.83196947081793,-7.40554469933892
"Fond du Lac",72,6,-66,8.43264989995908,-7.82672123033594
"Marquette",40,8,-32,6.30279147286304,-5.0771154555529
"Green Lake",36,0,-36,5.98142090843137,-6.01863680070644
"La Crosse",51,109,58,7.11008061185743,8.15743212577278
"Monroe",100,13,-87,9.91374687945829,-8.775693091405
"Waushara",61,1,-60,7.76922599442103,-7.72277702348794
"Juneau",79,43,-36,8.82768551797467,-4.07807912127113
"Adams",67,2,-65,8.13811766445885,-7.98710496456335
"Winnebago",62,4,-58,7.83196947081793,-7.40554469933892
"Calumet",46,0,-46,6.75548303331431,-6.80928362533862
"Manitowoc",56,12,-44,7.44723797704722,-5.90823069379686
"Outagamie",79,2,-77,8.82768551797467,-8.72255812049658
"Jackson",111,0,-111,10.4347360740826,-10.6375474388564
"Trempealeau",70,47,-23,8.31615084177078,-2.76570259938942
"Buffalo",61,14,-47,7.76922599442103,-6.04950866839889
"Wood",79,0,-79,8.82768551797467,-8.94911807167831
"Waupaca",89,2,-87,9.36159553560046,-9.29328763127553
"Portage",78,0,-78,8.77239980178612,-8.89152361525049
"Pepin",26,4,-22,5.08762112367282,-4.32422137285999
"Kewaunee",32,0,-32,5.64128668162263,-5.67246477727235
"Eau Claire",85,6,-79,9.15199527533492,-8.6319974632099
"Pierce",50,10,-40,7.04063877055855,-5.68130269191849
"Shawano",96,0,-96,9.71684304793874,-9.87975204769461
"Clark",125,0,-125,11.0596661052369,-11.3023303606617
"Marathon",165,1,-164,12.6619023807519,-12.9522401190919
"Menominee",48,0,-48,6.89958402402412,-6.95694114788161
"Dunn",82,0,-82,8.99138868154053,-9.11983709127683
"St. Croix",78,24,-54,8.77239980178612,-6.15567019517341
"Chippewa",111,3,-108,10.4347360740826,-10.3500461567252
"Door",41,4,-37,6.38053819090787,-5.79888387044282
"Taylor",101,0,-101,9.96232166573071,-10.1381990452516
"Oconto",104,4,-100,10.1065433838019,-9.89457979869488
"Langlade",87,9,-78,9.25742573802715,-8.42566845333642
"Lincoln",70,0,-70,8.31615084177078,-8.41735573727216
"Rusk",97,6,-91,9.76646756499206,-9.31759609033975
"Barron",106,32,-74,10.2014743547513,-7.25385345555807
"Polk",111,348,237,10.4347360740826,22.7126012883691
"Marinette",146,8,-138,11.9305789976069,-11.5669155728051
"Oneida",141,5,-136,11.7296715252976,-11.5945275796246
"Price",115,10,-105,10.6173652020515,-9.88945920214855
"Florence",59,0,-59,7.64212637292974,-7.72036434898437
"Forest",122,6,-116,10.9290205512457,-10.613942892328
"Sawyer",138,8,-130,11.6072804360271,-11.1998672485332
"Washburn",89,5,-84,9.36159553560046,-8.97282943709362
"Burnett",97,85,-12,9.76646756499206,-1.22869398993491
"Vilas",91,16,-75,9.46454629398649,-7.92431012225625
"Iron",88,30,-58,9.30966556305392,-6.23008416437398
"Douglas",133,3521,3388,11.4000744300788,297.191042109414
"Bayfield",175,1197,1022,13.0284220128257,78.4438820751972
"Ashland",135,116,-19,11.4834503712394,-1.65455498005947
"Brown",58,2,-56,7.57774317898842,-7.39006306723047
