"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
49,"N",10,"W",55,171,116,7.35804791172812,15.7650509199737
49,"N",14,"W",71,711,640,8.34076162343467,76.7316018481838
49,"N",13,"W",20,565,545,4.45941654370309,122.213297335851
49,"N",12,"W",15,34,19,3.86472478962179,4.91626209737418
49,"N",11,"W",28,6,-22,5.27042085455188,-4.1742397063034
49,"N",15,"W",0,3,3,0,Inf
48,"N",15,"W",74,13,-61,8.51144876101363,-7.1668175081319
48,"N",14,"W",98,133,35,9.76075641562523,3.58578766948546
48,"N",13,"W",98,64,-34,9.76075641562523,-3.48333659321444
48,"N",12,"W",97,417,320,9.71224730939862,32.9480901593531
48,"N",11,"W",87,2,-85,9.21142370167381,-9.22767237213881
48,"N",10,"W",96,50,-46,9.66346530868838,-4.76019714777075
47,"N",15,"W",84,195,111,9.05516558969845,12.2581965951322
47,"N",14,"W",93,156,63,9.51543985160121,6.62081847844361
47,"N",13,"W",88,24,-64,9.262862668878,-6.90931111556167
47,"N",12,"W",89,17,-72,9.31398706316368,-7.73030921255583
47,"N",11,"W",95,55,-40,9.61440625962301,-4.16042331890898
47,"N",10,"W",95,175,80,9.61440625962301,8.32084663781795
46,"N",15,"W",95,228,133,9.61440625962301,13.8334075353723
46,"N",14,"W",93,29,-64,9.51543985160121,-6.7259108352443
46,"N",13,"W",83,52,-31,9.00241376322641,-3.44352090620747
46,"N",12,"W",95,14,-81,9.61440625962301,-8.42485722079068
46,"N",11,"W",88,55,-33,9.262862668878,-3.56261354396149
46,"N",10,"W",79,129,50,8.78791739775237,5.68963017481118
45,"N",15,"W",76,13,-63,8.62319876519439,-7.30587357608935
45,"N",14,"W",99,14,-85,9.80899667606063,-8.66551420161523
45,"N",13,"W",94,17,-77,9.56506589927553,-8.05012749633351
45,"N",12,"W",97,52,-45,9.71224730939862,-4.63332517865902
45,"N",11,"W",89,54,-35,9.31398706316368,-3.75778920054797
45,"N",10,"W",88,13,-75,9.262862668878,-8.09684896354883
44,"N",15,"W",87,0,-87,9.21142370167381,-9.44479407501266
44,"N",14,"W",97,10,-87,9.71224730939862,-8.95776201207411
44,"N",13,"W",94,2,-92,9.56506589927553,-9.61833415146342
44,"N",12,"W",79,13,-66,8.78791739775237,-7.51031183075075
44,"N",11,"W",99,10,-89,9.80899667606063,-9.07330310522066
44,"N",10,"W",100,2,-98,9.85697203791911,-9.94220127874976
43,"N",15,"W",85,5,-80,9.10758069571391,-8.78389142768162
43,"N",14,"W",102,2,-100,9.95214336842444,-10.0480867586046
43,"N",13,"W",102,1,-101,9.95214336842444,-10.1485676261906
43,"N",12,"W",99,3,-96,9.80899667606063,-9.78693368653015
43,"N",11,"W",118,12,-106,10.6792060395845,-9.92583152783929
43,"N",10,"W",99,0,-99,9.80899667606063,-10.0927753642342
