"t_num","t_dir","r_num","r_dir","R_pt_ct","NR_pt_ct","kadmon_index_top","kadmon_index_bottom","kadmon_index"
53,"N",1,"E",1,0,-1,0.99990678163578,-1.00009322705469
53,"N",1,"W",2,0,-2,1.41394988873188,-1.41447728518422
53,"N",2,"W",3,1,-2,1.73156638557435,-1.15502357672335
53,"N",3,"W",0,1,1,0,Inf
52,"N",5,"W",1,6,5,0.99990678163578,5.00046613527347
52,"N",4,"W",6,11,5,2.44811939876388,2.0423840448814
52,"N",1,"E",0,0,0,0,NA
52,"N",1,"W",1,0,-1,0.99990678163578,-1.00009322705469
52,"N",2,"W",3,23,20,1.73156638557435,11.5502357672335
52,"N",3,"W",5,7,2,2.23502557010665,0.894844348427101
51,"N",5,"W",10,5,-5,3.15932859894666,-1.58261473708908
51,"N",4,"W",11,2,-9,3.31322232989396,-2.71638879129733
51,"N",3,"W",8,7,-0.999999999999999,2.8263171452472,-0.353817334930591
51,"N",2,"W",3,1,-2,1.73156638557435,-1.15502357672335
51,"N",1,"W",0,2,2,0,Inf
51,"N",7,"W",0,1,1,0,Inf
51,"N",6,"W",3,7,4,1.73156638557435,2.31004715344669
50,"N",7,"W",8,1,-7,2.8263171452472,-2.47672134451414
50,"N",6,"W",14,2,-12,3.73677134762079,-3.21132841259887
50,"N",5,"W",21,0,-21,4.57359653171323,-4.59157248663855
50,"N",4,"W",10,5,-5,3.15932859894666,-1.58261473708908
50,"N",3,"W",4,0,-4,1.99925414877138,-2.00074612947942
50,"N",2,"W",1,2,1,0.99990678163578,1.00009322705469
50,"N",8,"W",9,64,55,2.99748216489424,18.3487330280548
50,"N",9,"W",2,0,-2,1.41394988873188,-1.41447728518422
49,"N",10,"W",16,171,155,3.9940298474189,38.8079223043781
49,"N",9,"W",14,2,-12,3.73677134762079,-3.21132841259887
49,"N",14,"W",12,711,699,3.46022461155574,202.010007577434
49,"N",8,"W",6,2,-4,2.44811939876388,-1.63390723590512
49,"N",7,"W",9,0,-9,2.99748216489424,-3.00251995004532
49,"N",6,"W",11,1,-10,3.31322232989396,-3.01820976810815
49,"N",5,"W",15,3,-12,3.86756430990813,-3.10272798030992
49,"N",4,"W",7,2,-5,2.64402439967938,-1.8910566788288
49,"N",3,"W",0,17,17,0,Inf
49,"N",13,"W",0,565,565,0,Inf
49,"N",12,"W",0,34,34,0,Inf
49,"N",11,"W",8,6,-2,2.8263171452472,-0.707634669861182
49,"N",15,"W",0,3,3,0,Inf
48,"N",15,"W",4,13,9,1.99925414877138,4.50167879132869
48,"N",14,"W",10,133,123,3.15932859894666,38.9323225323915
48,"N",13,"W",10,64,54,3.15932859894666,17.0922391605621
48,"N",12,"W",18,417,399,4.23551618051876,94.2033941070037
48,"N",11,"W",9,2,-7,2.99748216489424,-2.3352932944797
48,"N",10,"W",7,50,43,2.64402439967938,16.2630874379277
48,"N",9,"W",12,10,-2,3.46022461155574,-0.577997160450455
48,"N",8,"W",10,9,-1,3.15932859894666,-0.316522947417817
48,"N",7,"W",13,5,-8,3.6011794819818,-2.22149438538883
48,"N",6,"W",14,1,-13,3.73677134762079,-3.47893911364877
48,"N",5,"W",12,4,-8,3.46022461155574,-2.31198864180182
48,"N",4,"W",4,3,-1,1.99925414877138,-0.500186532369854
48,"N",3,"W",5,1,-4,2.23502557010665,-1.7896886968542
48,"N",2,"W",2,11,9,1.41394988873188,6.365147783329
47,"N",15,"W",14,195,181,3.73677134762079,48.4375368900329
47,"N",14,"W",6,156,150,2.44811939876388,61.2715213464421
47,"N",13,"W",9,24,15,2.99748216489424,5.00419991674221
47,"N",12,"W",11,17,6,3.31322232989396,1.81092586086489
47,"N",11,"W",6,55,49,2.44811939876388,20.0153636398377
48,"N",1,"W",0,0,0,0,NA
47,"N",10,"W",11,175,164,3.31322232989396,49.4986401969736
47,"N",9,"W",15,8,-7,3.86756430990813,-1.80992465518079
47,"N",8,"W",12,23,11,3.46022461155574,3.1789843824775
47,"N",7,"W",2,1,-1,1.41394988873188,-0.707238642592111
47,"N",6,"W",14,1,-13,3.73677134762079,-3.47893911364877
47,"N",5,"W",14,0,-14,3.73677134762079,-3.74654981469868
47,"N",4,"W",15,3,-12,3.86756430990813,-3.10272798030992
47,"N",3,"W",10,0,-10,3.15932859894666,-3.16522947417817
47,"N",2,"W",8,1,-7,2.8263171452472,-2.47672134451414
47,"N",1,"W",10,0,-10,3.15932859894666,-3.16522947417817
47,"N",1,"E",4,0,-4,1.99925414877138,-2.00074612947942
46,"N",15,"W",8,228,220,2.8263171452472,77.83981368473
47,"N",2,"E",1,0,-1,0.99990678163578,-1.00009322705469
46,"N",14,"W",18,29,11,4.23551618051876,2.59708605307529
46,"N",13,"W",5,52,47,2.23502557010665,21.0288421880369
46,"N",12,"W",19,14,-5,4.35117219585728,-1.14911563480766
46,"N",11,"W",9,55,46,2.99748216489424,15.3462130780094
46,"N",10,"W",18,129,111,4.23551618051876,26.2069592628507
46,"N",9,"W",13,11,-2,3.6011794819818,-0.555373596347206
46,"N",8,"W",14,16,2,3.73677134762079,0.535221402099811
46,"N",7,"W",11,6,-5,3.31322232989396,-1.50910488405407
46,"N",6,"W",11,0,-11,3.31322232989396,-3.32003074491896
46,"N",5,"W",11,16,5,3.31322232989396,1.50910488405407
46,"N",4,"W",9,0,-9,2.99748216489424,-3.00251995004532
46,"N",3,"W",6,0,-6,2.44811939876388,-2.45086085385768
46,"N",2,"W",10,0,-10,3.15932859894666,-3.16522947417817
46,"N",1,"W",9,0,-9,2.99748216489424,-3.00251995004532
46,"N",1,"E",9,0,-9,2.99748216489424,-3.00251995004532
46,"N",2,"E",10,0,-10,3.15932859894666,-3.16522947417817
46,"N",3,"E",0,0,0,0,NA
45,"N",15,"W",16,13,-3,3.9940298474189,-0.751121076858931
45,"N",14,"W",8,14,6,2.8263171452472,2.12290400958355
45,"N",13,"W",6,17,11,2.44811939876388,4.49324489873908
45,"N",12,"W",7,52,45,2.64402439967938,17.0195101094592
45,"N",11,"W",10,54,44,3.15932859894666,13.9270096863839
45,"N",10,"W",5,13,8,2.23502557010665,3.57937739370841
45,"N",9,"W",13,17,4,3.6011794819818,1.11074719269441
45,"N",8,"W",13,668,655,3.6011794819818,181.88485280371
45,"N",7,"W",9,102,93,2.99748216489424,31.0260394838017
45,"N",6,"W",9,12,3,2.99748216489424,1.00083998334844
45,"N",5,"W",3,4,1,1.73156638557435,0.577511788361673
45,"N",4,"W",10,13,3,3.15932859894666,0.94956884225345
45,"N",3,"W",12,0,-12,3.46022461155574,-3.46798296270273
45,"N",2,"W",9,1,-8,2.99748216489424,-2.66890662226251
45,"N",1,"W",10,0,-10,3.15932859894666,-3.16522947417817
45,"N",1,"E",16,0,-16,3.9940298474189,-4.00597907658097
45,"N",2,"E",14,0,-14,3.73677134762079,-3.74654981469868
45,"N",3,"E",1,0,-1,0.99990678163578,-1.00009322705469
44,"N",15,"W",12,0,-12,3.46022461155574,-3.46798296270273
44,"N",14,"W",11,10,-1,3.31322232989396,-0.301820976810815
44,"N",13,"W",6,2,-4,2.44811939876388,-1.63390723590512
44,"N",12,"W",11,13,2,3.31322232989396,0.60364195362163
44,"N",11,"W",7,10,3,2.64402439967938,1.13463400729728
44,"N",10,"W",7,2,-5,2.64402439967938,-1.8910566788288
44,"N",9,"W",10,4,-6,3.15932859894666,-1.8991376845069
44,"N",8,"W",15,57,42,3.86756430990813,10.8595479310847
44,"N",7,"W",9,70,61,2.99748216489424,20.3504129947516
44,"N",6,"W",8,0,-8,2.8263171452472,-2.83053867944473
44,"N",5,"W",10,0,-10,3.15932859894666,-3.16522947417817
44,"N",3,"W",9,3,-6,2.99748216489424,-2.00167996669688
44,"N",4,"W",7,3,-4,2.64402439967938,-1.51284534306304
44,"N",2,"W",6,6,0,2.44811939876388,0
44,"N",1,"W",5,0,-5,2.23502557010665,-2.23711087106775
44,"N",1,"E",11,0,-11,3.31322232989396,-3.32003074491896
44,"N",2,"E",9,0,-9,2.99748216489424,-3.00251995004532
44,"N",3,"E",8,0,-8,2.8263171452472,-2.83053867944473
44,"N",4,"E",7,0,-7,2.64402439967938,-2.64747935036032
44,"N",5,"E",5,0,-5,2.23502557010665,-2.23711087106775
44,"N",6,"E",2,0,-2,1.41394988873188,-1.41447728518422
43,"N",15,"W",7,5,-2,2.64402439967938,-0.756422671531519
43,"N",14,"W",18,2,-16,4.23551618051876,-3.77757971356406
43,"N",13,"W",11,1,-10,3.31322232989396,-3.01820976810815
43,"N",12,"W",9,3,-6,2.99748216489424,-2.00167996669688
43,"N",11,"W",14,12,-2,3.73677134762079,-0.535221402099811
43,"N",10,"W",12,0,-12,3.46022461155574,-3.46798296270273
43,"N",9,"W",5,0,-5,2.23502557010665,-2.23711087106775
44,"N",7,"E",0,0,0,0,NA
43,"N",8,"W",8,1,-7,2.8263171452472,-2.47672134451414
43,"N",7,"W",9,35,26,2.99748216489424,8.67394652235316
43,"N",6,"W",9,0,-9,2.99748216489424,-3.00251995004532
43,"N",5,"W",10,0,-10,3.15932859894666,-3.16522947417817
43,"N",4,"W",11,0,-11,3.31322232989396,-3.32003074491896
43,"N",3,"W",12,0,-12,3.46022461155574,-3.46798296270273
43,"N",2,"W",8,0,-8,2.8263171452472,-2.83053867944473
43,"N",7,"E",9,0,-9,2.99748216489424,-3.00251995004532
43,"N",6,"E",10,0,-10,3.15932859894666,-3.16522947417817
43,"N",5,"E",11,0,-11,3.31322232989396,-3.32003074491896
43,"N",4,"E",7,0,-7,2.64402439967938,-2.64747935036032
43,"N",1,"W",13,0,-13,3.6011794819818,-3.60992837625684
43,"N",1,"E",9,0,-9,2.99748216489424,-3.00251995004532
43,"N",3,"E",10,0,-10,3.15932859894666,-3.16522947417817
43,"N",2,"E",9,0,-9,2.99748216489424,-3.00251995004532
43,"N",8,"E",5,0,-5,2.23502557010665,-2.23711087106775
43,"N",9,"E",3,0,-3,1.73156638557435,-1.73253536508502
43,"N",10,"E",0,0,0,0,NA
42,"N",15,"W",7,2,-5,2.64402439967938,-1.8910566788288
34,"N",3,"W",14,0,-14,3.73677134762079,-3.74654981469868
42,"N",14,"W",4,6,2,1.99925414877138,1.00037306473971
42,"N",13,"W",8,1,-7,2.8263171452472,-2.47672134451414
42,"N",12,"W",10,0,-10,3.15932859894666,-3.16522947417817
42,"N",11,"W",6,0,-6,2.44811939876388,-2.45086085385768
42,"N",10,"W",6,0,-6,2.44811939876388,-2.45086085385768
42,"N",9,"W",9,0,-9,2.99748216489424,-3.00251995004532
42,"N",8,"W",12,2,-10,3.46022461155574,-2.88998580225228
42,"N",7,"W",13,0,-13,3.6011794819818,-3.60992837625684
42,"N",6,"W",5,0,-5,2.23502557010665,-2.23711087106775
42,"N",5,"W",8,0,-8,2.8263171452472,-2.83053867944473
42,"N",10,"E",10,0,-10,3.15932859894666,-3.16522947417817
42,"N",4,"W",19,0,-19,4.35117219585728,-4.36663941226912
42,"N",11,"E",7,0,-7,2.64402439967938,-2.64747935036032
42,"N",9,"E",13,0,-13,3.6011794819818,-3.60992837625684
42,"N",3,"W",9,0,-9,2.99748216489424,-3.00251995004532
42,"N",2,"W",12,9,-3,3.46022461155574,-0.866995740675683
42,"N",8,"E",15,0,-15,3.86756430990813,-3.8784099753874
