"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","collectedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","N_latitude","W_longitude","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation","month_fctr","recordedBy_og","coll_gr"
"SUWS010001","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Granlund, Marvin","s.n.","1967-07-13",1967,7,13,194,"1967-07-13","","Deep woods.",NA,"Bayfield","Drummond. 3 miles SE of Drummond",46.30617,-91.21348,NA,1975,"46.306170 N"," 91.213480 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Granlund, Marvin","Other Collectors"
"SUWS010007","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Zirngibl, William","s.n","1984-09-13",1984,9,13,257,"1984-09-13","","Mature pine forest.",NA,"Douglas","0.5 miles from the end of Wisconsin Point, Lake side",46.69966,-92.00158,NA,1551,"46.699660 N"," 92.001580 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Zirngibl, William","Other Collectors"
"SUWS010010","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods, balsam fir, and paper birch.",NA,"Ashland","National Forest Rd. 187. Near Morgan Falls",46.34717,-90.9163,NA,429,"46.347170 N"," 90.916300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","November","Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W."
"SUWS010011","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Zirngibl, William","s.n.","1985-09-13",1985,9,13,256,"1985-09-13","","Mature white pine.",NA,"Douglas","Wisconsin Point, a sand spit forming the Superior Harbor. 0.5 mile from tip of Point. 0.5 way between lake and road. Fossil Dunes.",46.69966,-92.00158,NA,1551,"46.699660 N"," 92.001580 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","September","Zirngibl, William","Other Collectors"
"SUWS010012","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Davidson, Donald W.","s.n.","1985-11-20",1985,11,20,324,"1985-11-20","","Aspen being replaced by mesic hardwoods, balsam fir, and paper birch.",NA,"Ashland","National Forest Rd 187. Near Morgan Falls",46.32062,-90.85862,NA,5298,"46.320620 N"," 90.858620 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","November","Davidson, Donald W.; Johnson, Robbye, Heim, Michael","Davidson, Donald W."
"SUWS010014","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium annotinum",13350,"L.","Lycopodium","annotinum","","","","","Zarling, Ruth","s.n.","1967-07-11",1967,7,11,192,"1967-07-11","","Hemlock forest.",NA,"Bayfield","Drummond. NE of Drummond on Donald's road",46.37173,-91.21608,NA,1757,"46.371730 N"," 91.216080 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Zarling, Ruth","Other Collectors"
"SUWS010015","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Cochrane, Theodore S.","","Richardson, Timothy","77","1969-10-24",1969,10,24,297,"1969-10-24","","Rocky soil in hardwood forest. The very long, more or less twisted weak tips on the leaves distinguish this species from the others.",NA,"Ashland","Sanborn. Morgan Falls, 5 miles S of Feeney Rd. S of Sanborn",46.34717,-90.9163,NA,429,"46.347170 N"," 90.916300 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","October","Richardson, Timothy","Other Collectors"
"SUWS010023","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Peck, James H.","","Brashier","PL-247","1964-06-27",1964,6,27,179,"1964-06-27","","Dry forest floor.",NA,"Bayfield","Pigeon Lake Field Station",46.34228,-91.34901,NA,2257,"46.342280 N"," 91.349010 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","June","Brashier; Raatz","Brashier"
"SUWS010024","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Peck, James H.","","Zarling, Ruth","s.n.","1967-07-11",1967,7,11,192,"1967-07-11","","Hemlock forest.",NA,"Bayfield","Drummond. NE of Drummond on Donald's road",46.37173,-91.21608,NA,1757,"46.371730 N"," 91.216080 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Zarling, Ruth","Other Collectors"
"SUWS010025","Equisetopsida","Lycopodiales","Lycopodiaceae","Lycopodium clavatum",4148,"L.","Lycopodium","clavatum","","","Peck, James H.","","Severson, Bob","s.n.","1967-07-22",1967,7,22,203,"1967-07-22","","Moist, low, woodlands.",NA,"Bayfield","Drummond. 4 mi. S of Drummond on Natl. Forest Road 213",46.2778,-91.27891,NA,2517,"46.277800 N"," 91.278910 W","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","",NA,"","July","Severson, Bob","Other Collectors"
