Only_Coords_Specimens_CoordinateTableToPoint.OID,Only_Coords_Specimens_CoordinateTableToPoint.catalogNumber,Only_Coords_Specimens_CoordinateTableToPoint.class,Only_Coords_Specimens_CoordinateTableToPoint.order_,Only_Coords_Specimens_CoordinateTableToPoint.family,Only_Coords_Specimens_CoordinateTableToPoint.scientificName,Only_Coords_Specimens_CoordinateTableToPoint.taxonID,Only_Coords_Specimens_CoordinateTableToPoint.scientificNameAuthorship,Only_Coords_Specimens_CoordinateTableToPoint.genus,Only_Coords_Specimens_CoordinateTableToPoint.specificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.infraspecificEpithet,Only_Coords_Specimens_CoordinateTableToPoint.taxonRank,Only_Coords_Specimens_CoordinateTableToPoint.identifiedBy,Only_Coords_Specimens_CoordinateTableToPoint.dateIdentified,Only_Coords_Specimens_CoordinateTableToPoint.collectedBy,Only_Coords_Specimens_CoordinateTableToPoint.recordNumber,Only_Coords_Specimens_CoordinateTableToPoint.eventDate,Only_Coords_Specimens_CoordinateTableToPoint.year,Only_Coords_Specimens_CoordinateTableToPoint.month,Only_Coords_Specimens_CoordinateTableToPoint.day,Only_Coords_Specimens_CoordinateTableToPoint.startDayOfYear,Only_Coords_Specimens_CoordinateTableToPoint.verbatimEventDate,Only_Coords_Specimens_CoordinateTableToPoint.occurrenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.habitat,Only_Coords_Specimens_CoordinateTableToPoint.informationWithheld,Only_Coords_Specimens_CoordinateTableToPoint.county,Only_Coords_Specimens_CoordinateTableToPoint.locality,Only_Coords_Specimens_CoordinateTableToPoint.decimalLatitude,Only_Coords_Specimens_CoordinateTableToPoint.decimalLongitude,Only_Coords_Specimens_CoordinateTableToPoint.geodeticDatum,Only_Coords_Specimens_CoordinateTableToPoint.coordinateUncertaintyInMeters,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude,Only_Coords_Specimens_CoordinateTableToPoint.N_latitude_D,Only_Coords_Specimens_CoordinateTableToPoint.W_longitude_D,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceProtocol,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceSources,Only_Coords_Specimens_CoordinateTableToPoint.georeferenceRemarks,Only_Coords_Specimens_CoordinateTableToPoint.minimumElevationInMeters,Only_Coords_Specimens_CoordinateTableToPoint.verbatimElevation,Only_Coords_Specimens_CoordinateTableToPoint.month_fctr,Only_Coords_Specimens_CoordinateTableToPoint.recordedBy_og,Only_Coords_Specimens_CoordinateTableToPoint.coll_gr,Only_Coords_Specimens_CoordinateTableToPoint.DDLat,Only_Coords_Specimens_CoordinateTableToPoint.DDLon,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.OBJECTID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.Join_Count,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TARGET_FID,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.AREA,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.PERIMETER,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWPNW924_I,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DTR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.TWP,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.RNG,Only_Coords_Specimens_CoordinateTableToPoint_AddSpatialJoin.DIR_ALPHA
1,SUWS010001,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium annotinum,13350,L.,Lycopodium,annotinum,,,,,"Granlund, Marvin",s.n.,1967-07-13,1967,7,13,194,1967-07-13,,Deep woods.,NA,Bayfield,Drummond. 3 miles SE of Drummond,46.30617,-91.21348,NA,1975,46.306170 N, 91.213480 W,46.30617,-91.21348,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Granlund, Marvin",Other Collectors,46.30617,-91.21348,1,1,1,92875669.31,38567.01091,116,115,24407,2,44,7,W
2,SUWS010007,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium annotinum,13350,L.,Lycopodium,annotinum,,,,,"Zirngibl, William",s.n,1984-09-13,1984,9,13,257,1984-09-13,,Mature pine forest.,NA,Douglas,"0.5 miles from the end of Wisconsin Point, Lake side",46.69966,-92.00158,NA,1551,46.699660 N, 92.001580 W,46.69966,-92.00158,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Zirngibl, William",Other Collectors,46.69966,-92.00158,2,1,2,55863880.81,35086.16969,36,35,24913,2,49,13,W
3,SUWS010010,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium annotinum,13350,L.,Lycopodium,annotinum,,,,,"Davidson, Donald W.",s.n.,1985-11-20,1985,11,20,324,1985-11-20,,"Aspen being replaced by mesic hardwoods, balsam fir, and paper birch.",NA,Ashland,National Forest Rd. 187. Near Morgan Falls,46.34717,-90.9163,NA,429,46.347170 N, 90.916300 W,46.34717,-90.9163,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,November,"Davidson, Donald W.; Heim, Mike, Johnson, Robbye","Davidson, Donald W.",46.34717,-90.9163,3,1,3,93389785.25,38707.53882,101,100,24504,2,45,4,W
4,SUWS010011,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium annotinum,13350,L.,Lycopodium,annotinum,,,,,"Zirngibl, William",s.n.,1985-09-13,1985,9,13,256,1985-09-13,,Mature white pine.,NA,Douglas,"Wisconsin Point, a sand spit forming the Superior Harbor. 0.5 mile from tip of Point. 0.5 way between lake and road. Fossil Dunes.",46.69966,-92.00158,NA,1551,46.699660 N, 92.001580 W,46.69966,-92.00158,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,September,"Zirngibl, William",Other Collectors,46.69966,-92.00158,4,1,4,55863880.81,35086.16969,36,35,24913,2,49,13,W
5,SUWS010012,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium annotinum,13350,L.,Lycopodium,annotinum,,,,,"Davidson, Donald W.",s.n.,1985-11-20,1985,11,20,324,1985-11-20,,"Aspen being replaced by mesic hardwoods, balsam fir, and paper birch.",NA,Ashland,National Forest Rd 187. Near Morgan Falls,46.32062,-90.85862,NA,5298,46.320620 N, 90.858620 W,46.32062,-90.85862,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,November,"Davidson, Donald W.; Johnson, Robbye, Heim, Michael","Davidson, Donald W.",46.32062,-90.85862,5,1,5,92529874.5,38396.13617,120,119,24404,2,44,4,W
6,SUWS010014,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium annotinum,13350,L.,Lycopodium,annotinum,,,,,"Zarling, Ruth",s.n.,1967-07-11,1967,7,11,192,1967-07-11,,Hemlock forest.,NA,Bayfield,Drummond. NE of Drummond on Donald's road,46.37173,-91.21608,NA,1757,46.371730 N, 91.216080 W,46.37173,-91.21608,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Zarling, Ruth",Other Collectors,46.37173,-91.21608,6,1,6,92482175.4,38459.07192,98,97,24507,2,45,7,W
7,SUWS010015,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium clavatum,4148,L.,Lycopodium,clavatum,,,"Cochrane, Theodore S.",,"Richardson, Timothy",77,1969-10-24,1969,10,24,297,1969-10-24,,"Rocky soil in hardwood forest. The very long, more or less twisted weak tips on the leaves distinguish this species from the others.",NA,Ashland,"Sanborn. Morgan Falls, 5 miles S of Feeney Rd. S of Sanborn",46.34717,-90.9163,NA,429,46.347170 N, 90.916300 W,46.34717,-90.9163,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,October,"Richardson, Timothy",Other Collectors,46.34717,-90.9163,7,1,7,93389785.25,38707.53882,101,100,24504,2,45,4,W
8,SUWS010023,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium clavatum,4148,L.,Lycopodium,clavatum,,,"Peck, James H.",,Brashier,PL-247,1964-06-27,1964,6,27,179,1964-06-27,,Dry forest floor.,NA,Bayfield,Pigeon Lake Field Station,46.34228,-91.34901,NA,2257,46.342280 N, 91.349010 W,46.34228,-91.34901,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,June,Brashier; Raatz,Brashier,46.34228,-91.34901,8,1,8,92054397.66,38461.88047,97,96,24508,2,45,8,W
9,SUWS010024,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium clavatum,4148,L.,Lycopodium,clavatum,,,"Peck, James H.",,"Zarling, Ruth",s.n.,1967-07-11,1967,7,11,192,1967-07-11,,Hemlock forest.,NA,Bayfield,Drummond. NE of Drummond on Donald's road,46.37173,-91.21608,NA,1757,46.371730 N, 91.216080 W,46.37173,-91.21608,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Zarling, Ruth",Other Collectors,46.37173,-91.21608,9,1,9,92482175.4,38459.07192,98,97,24507,2,45,7,W
10,SUWS010025,Equisetopsida,Lycopodiales,Lycopodiaceae,Lycopodium clavatum,4148,L.,Lycopodium,clavatum,,,"Peck, James H.",,"Severson, Bob",s.n.,1967-07-22,1967,7,22,203,1967-07-22,,"Moist, low, woodlands.",NA,Bayfield,Drummond. 4 mi. S of Drummond on Natl. Forest Road 213,46.2778,-91.27891,NA,2517,46.277800 N, 91.278910 W,46.2778,-91.27891,Georeferencing Quick Reference Guide 2012-10-02,Geolocate,,NA,,July,"Severson, Bob",Other Collectors,46.2778,-91.27891,10,1,10,92875669.31,38567.01091,116,115,24407,2,44,7,W
