OBJECTID,TWP,RNG,DIR_ALPHA,Shape_Length,Shape_Area
1,1,1,E,52696.18066,-173397706.6
2,1,1,W,52594.07837,-173489031
3,1,2,E,52610.04167,-172725703.7
4,1,2,W,51041.73691,-156349524.6
5,1,3,E,52650.25039,-172667117.1
6,1,3,W,12070.98493,-6791092.261
7,1,4,E,53083.63371,-175829439.8
8,1,5,E,53576.23729,-179098405
9,1,6,E,53707.51513,-179887254.3
10,1,7,E,53895.23255,-181295158.6
11,1,8,E,54437.44224,-185126222.1
12,1,9,E,55187.18337,-190162690.9
13,1,10,E,52535.99661,-172130002.7
14,1,11,E,52761.03285,-173833461.1
15,1,12,E,52806.32359,-174685454.1
16,1,13,E,52796.09789,-173998250.1
17,1,14,E,52880.9582,-175183153.7
18,1,15,E,52773.71457,-173956157.5
19,1,16,E,52729.2876,-173759231.8
20,1,17,E,52728.22363,-173869738.7
21,1,18,E,52670.76704,-173006657.3
22,1,19,E,52557.99424,-172692006.8
23,1,20,E,52597.41481,-172895111.1
24,1,21,E,52589.39884,-172485847.6
25,1,22,E,52720.80447,-173950690.3
26,1,23,E,35680.89666,-60213842.91
27,2,1,E,52650.14941,-173595393.7
28,2,1,W,52594.04069,-172646472.8
29,2,2,E,52550.26525,-172921593
30,2,2,W,52716.10814,-174403678.6
31,2,3,E,52646.46842,-173589118.9
32,2,3,W,49097.91494,-103758452
33,2,4,E,52547.04107,-172706341.2
34,2,4,W,32514.90523,-38437339.74
35,2,5,E,52595.17616,-173086851.6
36,2,5,W,4699.832481,-875124.9609
37,2,6,E,52552.66442,-172675276.7
38,2,7,E,52531.49053,-172508340.9
39,2,8,E,52357.1795,-171365370.9
40,2,9,E,52532.63695,-172317788.3
41,2,10,E,52532.30234,-172556990.2
42,2,11,E,52701.61172,-173812342
43,2,12,E,52799.12941,-174316513.4
44,2,13,E,52654.1665,-172915818.9
45,2,14,E,52728.33611,-173526823.8
46,2,15,E,52584.89737,-172115013.4
47,2,16,E,52510.60104,-172519738.3
48,2,17,E,52468.68843,-172506810.3
49,2,18,E,52536.99318,-172509837.4
50,2,19,E,52512.31524,-172314274.8
51,2,20,E,52465.50779,-171808421.5
52,2,21,E,52489.03947,-172366127.3
53,2,22,E,52511.43261,-171971344.7
54,2,23,E,35290.09427,-59377603.51
55,3,1,E,52681.54493,-173154461.7
56,3,1,W,52898.13444,-174346377
57,3,2,E,52777.39611,-174315556.2
58,3,2,W,52745.11595,-173667450.2
59,3,3,E,52766.79187,-173998652.6
60,3,3,W,53020.97554,-175536660.2
61,3,4,E,52463.95131,-171856607.9
62,3,4,W,53001.4861,-175823679.1
63,3,5,E,52749.56217,-173869480.1
64,3,5,W,49900.241,-150889665.9
65,3,6,E,52652.66028,-173269781.6
66,3,6,W,25849.22123,-28638387.02
67,3,7,E,52594.8621,-172787080.5
68,3,8,E,52293.15051,-170574605.3
69,3,9,E,52636.97063,-173400210.1
70,3,10,E,52613.56041,-172950853.4
71,3,11,E,52795.60109,-173722206
72,3,12,E,52914.86635,-174737006.1
73,3,13,E,52860.83601,-174650123.8
74,3,14,E,52721.66171,-173325933.9
75,3,15,E,52514.6118,-172979904.2
76,3,16,E,52601.67883,-172683798.4
77,3,17,E,52610.28522,-172565624.6
78,3,18,E,52544.21233,-172514769.4
79,3,19,E,52613.56535,-172721747.6
80,3,20,E,52615.72867,-173533322.4
81,3,21,E,52718.83579,-174002537.9
82,3,22,E,52660.72531,-173121442.4
83,3,23,E,44452.6719,-87535601.44
84,4,1,E,52648.62158,-173406019.1
85,4,1,W,52981.49386,-175493372.8
86,4,2,E,52701.25967,-173257656
87,4,2,W,52771.92069,-174148088.7
88,4,3,E,52768.73545,-173678700.4
89,4,3,W,53028.09953,-175874936.7
90,4,4,E,52543.0674,-172445589.9
91,4,4,W,52851.92525,-174020572
92,4,5,E,52708.5073,-173691506.9
93,4,5,W,52782.22363,-174407719.8
94,4,6,E,52662.69533,-173952789.8
95,4,6,W,39507.58879,-84674919.51
96,4,7,E,52585.89669,-172791558.9
97,4,8,E,52249.20993,-170079161
98,4,9,E,52299.22592,-170809332.6
99,4,10,E,52940.31898,-175553019.5
100,4,11,E,52945.96219,-175264109.5
101,4,12,E,52761.84755,-174312608.7
102,4,13,E,52950.89106,-173957554.8
103,4,14,E,52949.58202,-175265478.2
104,4,15,E,52645.87482,-172925702.8
105,4,16,E,52425.28825,-171932974.9
106,4,17,E,52370.65836,-171168369.1
107,4,18,E,52477.26478,-172524150.9
108,4,19,E,52573.03999,-172564633.1
109,4,20,E,52475.62413,-171714900.7
110,4,21,E,52475.26177,-171991102.9
111,4,22,E,52363.6767,-171317573.8
112,4,23,E,44068.10448,-87946589.38
113,5,1,E,53128.7122,-176413994.5
114,5,1,W,53094.82657,-176222416.2
115,5,2,E,52989.2152,-175554048.1
116,5,2,W,53115.73073,-176435992.1
117,5,3,E,52852.79245,-174689339.1
118,5,3,W,52999.15597,-175459288.9
119,5,4,E,52650.37197,-173234546.5
120,5,4,W,52792.37521,-173859463.4
121,5,5,E,52760.63658,-173694749.9
122,5,5,W,52939.71154,-175389478.9
123,5,6,E,52781.38441,-174223547.8
124,5,6,W,50237.72923,-145390279
125,5,7,E,52682.07658,-172946545.1
126,5,7,W,14379.11886,-3864506.511
