"catalogNumber","county","collectedBy","t_num","t_dir","r_num","r_dir"
"SUWS017546","Douglas","Hlina, Paul",48,"N",12,"W"
"SUWS017447","Douglas","Hlina, Matt",48,"N",12,"W"
"SUWS017444","Douglas","Hlina, Paul",48,"N",12,"W"
"SUWS017551","Douglas","Anderson, Derek S.",48,"N",12,"W"
"SUWS017507","Douglas","Senti, Peter",48,"N",12,"W"
"SUWS017404","Douglas","Anderson, Derek S.",48,"N",12,"W"
"SUWS017541","Douglas","Bergman, Nils",48,"N",12,"W"
"SUWS017554","Douglas","Bergman, Nils",48,"N",12,"W"
"SUWS017409","Douglas","Davidson, Donald W.",48,"N",12,"W"
"SUWS017540","Douglas","Bergman, Nils",48,"N",12,"W"
"SUWS017416","Douglas","Bergman, Nils",48,"N",12,"W"
"SUWS017424","Douglas","Anderson, Derek S.",48,"N",12,"W"
"SUWS017425","Douglas","Stauff, Janelle",48,"N",12,"W"
"SUWS017438","Douglas","Hlina, Paul",48,"N",12,"W"
"SUWS017439","Douglas","Hlina, Paul",48,"N",12,"W"
"SUWS017442","Douglas","Crook, Trista",48,"N",12,"W"
"SUWS017443","Douglas","Hlina, Paul",48,"N",12,"W"
"SUWS017445","Douglas","Anderson, Derek S.",48,"N",12,"W"
"SUWS017451","Douglas","Hlina, Paul",48,"N",12,"W"
"SUWS017452","Douglas","Bergman, Nils",48,"N",12,"W"
"SUWS017548","Douglas","Davidson, Donald W.",48,"N",12,"W"
"SUWS017550","Douglas","Davidson, Donald W.",48,"N",12,"W"
"SUWS017543","Douglas","Bergman, Nils",48,"N",12,"W"
"SUWS017431","Douglas","Crook, Trista",48,"N",12,"W"
"SUWS017430","Douglas","Crook, Trista",48,"N",12,"W"
"SUWS017450","Douglas","Stauff, Janelle",48,"N",12,"W"
"SUWS017410","Douglas","Anderson, Derek S.",48,"N",12,"W"
"SUWS017552","Douglas","Bergman, Nils",48,"N",12,"W"
"SUWS009540","Bayfield","Koch, Rudy G.",50,"N",4,"W"
"SUWS010000","Ashland","Brashier",NA,NA,NA,NA
"SUWS010001","Bayfield","Granlund, Marvin",44,"N",7,"W"
"SUWS010004","Bayfield","Koch, Rudy G.",44,"N",8,"W"
"SUWS010005","Bayfield","Koch, Rudy G.",52,"N",5,"W"
"SUWS010006","Douglas","Thomson, John W., Jr.",45," N",11,"W"
"SUWS010007","Douglas","Zirngibl, William",49,"N",13,"W"
"SUWS010009","Douglas","Thomson, John W., Jr.",45," N",11,"W"
"SUWS010010","Ashland","Davidson, Donald W.",45,"N",4,"W"
"SUWS010011","Douglas","Zirngibl, William",49,"N",13,"W"
"SUWS010012","Ashland","Davidson, Donald W.",44,"N",4,"W"
"SUWS010013","Bayfield","Koch, Rudy G.",44,"N",7,"W"
"SUWS010014","Bayfield","Zarling, Ruth",45,"N",7,"W"
"SUWS010015","Ashland","Richardson, Timothy",45,"N",4,"W"
"SUWS010018","Oneida","Trick, Joel A.",39,"N",7,"E"
"SUWS010019","Douglas","Davidson, Donald W.",45,"N",14,"W"
"SUWS010020","Bayfield","Koch, Rudy G.",52,"N",4,"W "
"SUWS010023","Bayfield","Brashier",45,"N",8,"W"
"SUWS010024","Bayfield","Zarling, Ruth",45,"N",7,"W"
"SUWS010025","Bayfield","Severson, Bob",44,"N",7,"W"
"SUWS010026","Bayfield","Mitchell, John A.",46,"N",8,"W"
"SUWS010027","Bayfield","Cherf",45,"N",8,"W"
"SUWS010029","Marinette","Watson, Dale",32,"N",22,"E"
"SUWS010030","Bayfield","Zarling, Ruth",45,"N",7,"W"
"SUWS010031","Bayfield","Cherf",45,"N",8,"W"
"SUWS010032","Bayfield","Crass, Donna",45,"N",7,"W"
"SUWS010033","Bayfield","Brashier",45,"N",8,"W"
"SUWS010036","Douglas","Zirngibl, William",48,"N",13,"W"
"SUWS010037","Ashland","Davidson, Donald W.",45,"N",4,"W"
"SUWS010039","Bayfield","Pilt, Karen",45,"N",7,"W"
"SUWS010040","Ashland","Davidson, Donald W.",45,"N",4,"W"
"SUWS010042","Douglas","Zirngibl, William",49,"N",13,"W"
"SUWS010043","Sawyer","Heim, Michael",40,"N",9,"W"
"SUWS010044","Sawyer","Heim, Michael",40,"N",9,"W"
"SUWS010045","Rusk","Heim, Michael",NA,NA,NA,NA
"SUWS010046","Sawyer","Heim, Michael",40,"N",9,"W"
"SUWS010048","Douglas","Davidson, Donald W.",46,"N",14,"W"
"SUWS010049","Douglas","Davidson, Donald W.",46,"N",14,"W"
"SUWS010050","Ashland","Davidson, Donald W.",45,"N",4,"W"
"SUWS010051","Bayfield","Brashier",45,"N",8,"W"
"SUWS010052","Bayfield","Mitchell, John A.",47,"N",8,"W"
"SUWS010053","Bayfield","Johnson, Kurt",45,"N",7,"W"
"SUWS010054","Bayfield","Brashier",45,"N",8,"W"
"SUWS010056","Bayfield","Mitchell, John A.",47,"N",8,"W"
"SUWS010057","Douglas","",46,"N",11,"W"
"SUWS010059","Bayfield","Heim, Michael",45,"N",5,"W"
"SUWS010060","Douglas","Zirngibl, William",NA,NA,NA,NA
"SUWS010069","Burnett","Koch, Rudy G.",41,"N",16,"W"
"SUWS010070","Bayfield","Zarling, Ruth",45,"N",8,"W"
"SUWS010072","Price","Zirngibl, William",39,"N",1,"E"
"SUWS010073","Bayfield","Johnson, Robbye",45,"N",8,"W"
"SUWS010074","Bayfield","Askagard, Todd",NA,NA,NA,NA
"SUWS010075","Bayfield","Johnson, Robbye",48,"N",8,"W"
"SUWS010076","Douglas","Johnson, Robbye",43,"N",13,"W"
"SUWS010078","Douglas","Thomson, John W., Jr.",49,"N",14,"W"
"SUWS010080","La Crosse","Davis, J. D.",16,"N",5,"W"
"SUWS010081","Douglas","Stackler, Susan",46,"N",15,"W"
"SUWS010082","Douglas","Clements, Jimmy D.",49,"N",14,"W"
"SUWS010083","Vernon","Brimmer, K.",14,"N",6,"W"
"SUWS010084","Douglas","Thomson, John W., Jr.",47,"N",15,"W"
"SUWS010086","Douglas","Koch, Rudy G.",47,"N",14,"W"
"SUWS010088","Iron","Koch, Rudy G.",44,"N",3,"E"
"SUWS010089","Douglas","Thomson, John W., Jr.",NA,NA,NA,NA
"SUWS010090","Bayfield","Cherf",45,"N",8,"W"
"SUWS010091","Bayfield","Brashier",45,"N",8,"W"
"SUWS010092","Douglas","Thomson, John W., Jr.",46," N",10,"W"
"SUWS010093","Douglas","Koch, Rudy G.",47,"N",14,"W"
"SUWS010094","Bayfield","Koch, Rudy G.",45,"N",7,"W"
"SUWS010095","Bayfield","Brashier",45,"N",8,"W"
"SUWS010097","Bayfield","Brashier",45,"N",8,"W"
"SUWS010098","Bayfield","Brashier",45,"N",8,"W"
"SUWS010098b","Ashland","Brashier",NA,NA,NA,NA
"SUWS010099","Bayfield","Koch, Rudy G.",46,"N",8,"W"
"SUWS010100","Washburn","Koch, Rudy G.",41,"N",12,"W"
"SUWS010101","Bayfield","Koch, Rudy G.",50,"N",4,"W"
"SUWS010102","Iron","Koch, Rudy G.",46,"N",2,"E"
"SUWS010103","Douglas","Thomson, John W., Jr.",49,"N",13,"W"
