"county","specimens"
"Adams",2
"Ashland",36
"Barron",4
"Bayfield",66
"Brown",2
"Buffalo",8
"Burnett",13
"Chippewa",5
"Columbia",2
"Dane",7
"Dodge",1
"Door",4
"Douglas",168
"Dunn",2
"Eau Claire",4
"Fond du Lac",3
"Forest",3
"Grant",2
"Iowa",3
"Iron",5
"Jackson",1
"Jefferson",1
"Juneau",5
"Kenosha",1
"La Crosse",29
"Langlade",1
"Manitowoc",4
"Marathon",2
"Marinette",5
"Marquette",2
"Monroe",3
"Oconto",2
"Oneida",6
"Outagamie",2
"Ozaukee",1
"Pepin",2
"Pierce",2
"Polk",8
"Price",4
"Racine",2
"Richland",5
"Rock",3
"Rusk",3
"Sauk",4
"Sawyer",7
"Sheboygan",3
"St. Croix",3
"Trempealeau",8
"Vernon",8
"Vilas",4
"Walworth",5
"Washburn",5
"Washington",2
"Waukesha",3
"Waupaca",1
"Waushara",1
"Winnebago",3
