"county","collectedBy","num_spec"
"Barron","Thomson, John W., Jr.",7
"Bayfield","Thomson, John W., Jr.",27
"Chippewa","Thomson, John W., Jr.",2
"Columbia","Thomson, John W., Jr.",1
"Dane","Thomson, John W., Jr.",6
"Douglas","Thomson, John W., Jr.",532
"Iowa","Thomson, John W., Jr.",2
"Jackson","Thomson, John W., Jr.",9
"Jefferson","Thomson, John W., Jr.",1
"Juneau","Thomson, John W., Jr.",6
"Rock","Thomson, John W., Jr.",7
"Sauk","Thomson, John W., Jr.",1
"Walworth","Thomson, John W., Jr.",12
"Washburn","Thomson, John W., Jr.",3
