"catalogNumber","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","infraspecificEpithet","taxonRank","identifiedBy","dateIdentified","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","informationWithheld","dynamicProperties","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferenceProtocol","georeferenceSources","georeferenceRemarks","minimumElevationInMeters","verbatimElevation"
"SUWS017439","Equisetopsida","Polypodiales","Dryopteridaceae","Dryopteris carthusiana",3440,"(Vill.) H.P.Fuchs","Dryopteris","carthusiana","","","Crook, Trista","2006-08-16","Hlina, Paul","48","2006-08-16",2006,8,16,228,"","","Rock cliffs- growing in granite rocks.","","","Douglas","Amnicon Falls State Park - at base of falls",46.6131043,-91.89613188,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017546","Equisetopsida","Ericales","Ericaceae","Vaccinium myrtilloides",5322,"Michx.","Vaccinium","myrtilloides","","","Hlina, Paul","2006-08-30","Hlina, Paul","235","2006-08-30",2006,8,30,242,"","","40-60 year old aspen forest in open sunny area.","","","Douglas","Amnicon Falls State Park",46.62762726,-91.90132847,NA,NA,"T48N R12W sec20","","","",NA,""
"SUWS017401","Equisetopsida","Equisetales","Equisetaceae","Equisetum sylvaticum",3537,"L.","Equisetum","sylvaticum","","","Hlina, Paul","2007-08-18","Anderson, Derek S.","108","2006-08-18",2006,8,18,230,"","","Boreal forest in shade.","","","Douglas","Amnicon Falls State Park; Now and Then Falls drainage",46.61311219,-91.89072903,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017425","Equisetopsida","Polypodiales","Dryopteridaceae","Athyrium filix-femina var. angustum",6516,"(Willd.) G.Lawson","Athyrium","filix-femina","angustum","var.","Hlina, Paul","2006-08-03","Stauff, Janelle","53","2006-08-03",2006,8,3,215,"","","Boreal forest in soil adjacent to river.","","","Douglas","Amnicon Falls State Park; Snake Pit Falls",46.61311219,-91.89072903,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017548","Equisetopsida","Ericales","Ericaceae","Chimaphila umbellata subsp. umbellata",12911,"(L.) W.P.C.Barton","Chimaphila","umbellata","umbellata","subsp.","Hlina, Paul","2006-08-11","Davidson, Donald W.","487","2006-08-11",2006,8,11,223,"","","Pine (xeric) forest.","","","Douglas","Amnicon Falls State Park - Upper Falls",46.60952499,-91.89074577,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017447","Equisetopsida","Polypodiales","Dryopteridaceae","Onoclea sensibilis",4358,"L.","Onoclea","sensibilis","","","Hlina, Paul","2006-08-10","Hlina, Matt","411","2006-08-10",2006,8,10,222,"","","Growing at based of forest, in the black ash swamp area.","","","Douglas","Amnicon Falls State Park",46.62762102,-91.89607963,NA,NA,"T48N R12W sec20","","","",NA,""
"SUWS017444","Equisetopsida","Polypodiales","Dryopteridaceae","Gymnocarpium dryopteris",3784,"(L.) Newman","Gymnocarpium","dryopteris","","","Crook, Trista","2006-08-03","Hlina, Paul","89","2006-08-03",2006,8,3,215,"","Invasive native fern dominating in some area of the forest.","","","","Douglas","Amnicon Falls State Park; Snake Pit area",46.61308618,-91.90139071,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017445","Equisetopsida","Polypodiales","Dennstaedtiaceae","Pteridium aquilinum var. latiusculum",6819,"(Desv.) Underw. ex A.Heller","Pteridium","aquilinum","latiusculum","var.","Crook, Trista","2007-07-15","Anderson, Derek S.","88","2006-07-15",2006,7,15,196,"","","Boreal forest.","","","Douglas","Amnicon Falls State Park; Plot 3",46.60592555,-91.89085675,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017400","Equisetopsida","Equisetales","Equisetaceae","Equisetum arvense",3530,"L.","Equisetum","arvense","","","Hlina, Paul","2006-08-16","Bergman, Nils","379","2006-08-16",2006,8,16,228,"","","Ravine of falls.","","","Douglas","Amnicon Falls State Park; Now and Then Falls area",46.60952499,-91.89074577,NA,NA,"T48N R12W sec29","","","",NA,""
"SUWS017452","Equisetopsida","Polypodiales","Dryopteridaceae","Woodsia ilvensis",5437,"(L.) R.Br.","Woodsia","ilvensis","","","Hlina, Paul","2006-08-03","Bergman, Nils","169","2006-08-03",2006,8,3,215,"","","Top of exposed and very dry rock cliffs.","","","Douglas","Amnicon Falls State Park",46.6131043,-91.89613188,NA,NA,"T48N R12W sec29","","","",NA,""
