"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS010001",44,"N",7,"W"
"SUWS010007",49,"N",13,"W"
"SUWS010010",45,"N",4,"W"
"SUWS010011",49,"N",13,"W"
"SUWS010012",44,"N",4,"W"
"SUWS010014",45,"N",7,"W"
"SUWS010015",45,"N",4,"W"
"SUWS010023",45,"N",8,"W"
"SUWS010024",45,"N",7,"W"
"SUWS010025",44,"N",7,"W"
"SUWS010026",46,"N",8,"W"
"SUWS010027",45,"N",8,"W"
"SUWS010030",45,"N",7,"W"
"SUWS010031",45,"N",8,"W"
"SUWS010033",45,"N",8,"W"
"SUWS010037",45,"N",4,"W"
"SUWS010039",45,"N",7,"W"
"SUWS010040",45,"N",4,"W"
"SUWS010042",49,"N",13,"W"
"SUWS010048",46,"N",14,"W"
"SUWS010049",46,"N",14,"W"
"SUWS010050",45,"N",4,"W"
"SUWS010051",45,"N",8,"W"
"SUWS010052",47,"N",8,"W"
"SUWS010053",45,"N",7,"W"
"SUWS010054",45,"N",8,"W"
"SUWS010056",47,"N",8,"W"
"SUWS010070",45,"N",8,"W"
"SUWS010072",39,"N",1,"E"
"SUWS010073",45,"N",8,"W"
"SUWS010075",48,"N",8,"W"
"SUWS010076",43,"N",13,"W"
"SUWS010078",49,"N",14,"W"
"SUWS010090",45,"N",8,"W"
"SUWS010091",45,"N",8,"W"
"SUWS010095",45,"N",8,"W"
"SUWS010097",45,"N",8,"W"
"SUWS010098",45,"N",8,"W"
"SUWS010103",49,"N",13,"W"
"SUWS010119",42,"N",2,"W"
"SUWS010121",45,"N",8,"W"
"SUWS010126",46,"N",10,"W"
"SUWS010131",46,"N",10,"W"
"SUWS010136",47,"N",15,"W"
"SUWS010138",45,"N",8,"W"
"SUWS010148",52,"N",2,"W"
"SUWS010150",45,"N",8,"W"
"SUWS010152",45,"N",7,"W"
"SUWS010159",45,"N",8,"W"
"SUWS010160",42,"N",2,"W"
"SUWS010164",45,"N",8,"W"
"SUWS010169",47,"N",10,"W"
"SUWS010200",46,"N",13,"W"
"SUWS010216",13,"N",7,"W"
"SUWS010225",49,"N",13,"W"
"SUWS010318",18,"N",23,"E"
"SUWS010320",11,"N",2,"W"
"SUWS010326",45,"N",8,"W"
"SUWS010334",16,"N",7,"W"
"SUWS010351",14,"N",2,"E"
"SUWS010355",42,"N",2,"W"
"SUWS010364",49,"N",14,"W"
"SUWS010366",45,"N",8,"W"
"SUWS010367",42,"N",2,"W"
"SUWS010368",49,"N",14,"W"
"SUWS010369",17,"N",3,"W"
"SUWS010371",49,"N",14,"W"
"SUWS010372",49,"N",14,"W"
"SUWS010373",49,"N",14,"W"
"SUWS010374",49,"N",12,"W"
"SUWS010375",49,"N",14,"W"
"SUWS010376",49,"N",12,"W"
"SUWS010385",49,"N",14,"W"
"SUWS010389",49,"N",14,"W"
"SUWS010427",48,"N",8,"W"
"SUWS010429",48,"N",8,"W"
"SUWS010430",48,"N",8,"W"
"SUWS010438",49,"N",14,"W"
"SUWS010441",49,"N",14,"W"
"SUWS010444",49,"N",14,"W"
"SUWS010445",48,"N",8,"W"
"SUWS010447",49,"N",14,"W"
"SUWS010448",49,"N",14,"W"
"SUWS010449",49,"N",14,"W"
"SUWS010451",49,"N",14,"W"
"SUWS010489",49,"N",14,"W"
"SUWS010490",49,"N",12,"W"
"SUWS010491",49,"N",13,"W"
"SUWS010492",45,"N",14,"W"
"SUWS010495",49,"N",13,"W"
"SUWS010496",47,"N",10,"W"
"SUWS010497",40,"N",7,"E"
"SUWS010498",45,"N",14,"W"
"SUWS010499",49,"N",14,"W"
"SUWS010500",49,"N",14,"W"
"SUWS010501",49,"N",12,"W"
"SUWS010502",45,"N",14,"W"
"SUWS010505",49,"N",14,"W"
"SUWS010507",49,"N",14,"W"
"SUWS010508",49,"N",14,"W"
"SUWS010510",49,"N",13,"W"
"SUWS010513",48,"N",13,"W"
"SUWS010514",49,"N",14,"W"
"SUWS010523",49,"N",13,"W"
"SUWS010525",49,"N",14,"W"
"SUWS010526",49,"N",12,"W"
"SUWS010529",45,"N",14,"W"
"SUWS010530",49,"N",14,"W"
