"catalogNumber","N_latitude","W_longitude"
"SUWS010001","46.306170 N"," 91.213480 W"
"SUWS010007","46.699660 N"," 92.001580 W"
"SUWS010010","46.347170 N"," 90.916300 W"
"SUWS010011","46.699660 N"," 92.001580 W"
"SUWS010012","46.320620 N"," 90.858620 W"
"SUWS010014","46.371730 N"," 91.216080 W"
"SUWS010015","46.347170 N"," 90.916300 W"
"SUWS010023","46.342280 N"," 91.349010 W"
"SUWS010024","46.371730 N"," 91.216080 W"
"SUWS010025","46.277800 N"," 91.278910 W"
"SUWS010026","46.497910 N"," 91.374860 W"
"SUWS010027","46.342280 N"," 91.349010 W"
"SUWS010030","46.371730 N"," 91.216080 W"
"SUWS010031","46.342280 N"," 91.349010 W"
"SUWS010033","46.342280 N"," 91.349010 W"
"SUWS010037","46.347170 N"," 90.916300 W"
"SUWS010039","46.371730 N"," 91.216080 W"
"SUWS010040","46.347170 N"," 90.916300 W"
"SUWS010042","46.699660 N"," 92.001580 W"
"SUWS010048","46.432150 N"," 92.062230 W"
"SUWS010049","46.432150 N"," 92.062230 W"
"SUWS010050","46.347170 N"," 90.916300 W"
"SUWS010051","46.342280 N"," 91.349010 W"
"SUWS010052","46.506260 N"," 91.367040 W"
"SUWS010053","46.371730 N"," 91.216080 W"
"SUWS010054","46.342280 N"," 91.349010 W"
"SUWS010056","46.506260 N"," 91.367040 W"
"SUWS010070","46.339910 N"," 91.364460 W"
"SUWS010072","45.826940 N"," 90.400430 W"
"SUWS010073","46.400730 N"," 91.417150 W"
"SUWS010075","46.628870 N"," 91.318530 W"
"SUWS010076","46.186610 N"," 91.988150 W"
"SUWS010078","46.732160 N"," 92.066300 W"
"SUWS010090","46.342280 N"," 91.349010 W"
"SUWS010091","46.342280 N"," 91.349010 W"
"SUWS010095","46.342280 N"," 91.349010 W"
"SUWS010097","46.342280 N"," 91.349010 W"
"SUWS010098","46.342280 N"," 91.349010 W"
"SUWS010103","46.694720 N"," 91.992650 W"
"SUWS010119","46.130350 N"," 90.668670 W"
"SUWS010121","46.336850 N"," 91.362820 W"
"SUWS010126","46.478830 N"," 91.602970 W"
"SUWS010131","46.434130 N"," 91.675130 W"
"SUWS010136","46.554390 N"," 92.240190 W"
"SUWS010138","46.342280 N"," 91.349010 W"
"SUWS010148","46.937990 N"," 90.578520 W"
"SUWS010150","46.342280 N"," 91.349010 W"
"SUWS010152","46.388560 N"," 91.269360 W"
"SUWS010159","46.342280 N"," 91.349010 W"
"SUWS010160","46.130350 N"," 90.668670 W"
"SUWS010164","46.342280 N"," 91.349010 W"
"SUWS010169","46.553000 N"," 91.576580 W"
"SUWS010200","46.456690 N"," 91.983970 W"
"SUWS010216","43.634580 N"," 91.225660 W"
"SUWS010225","46.686710 N"," 91.986380 W"
"SUWS010318","44.059360 N"," 87.736210 W"
"SUWS010320","43.402490 N"," 90.556600 W"
"SUWS010326","46.342280 N"," 91.349010 W"
"SUWS010334","43.893420 N"," 91.269510 W"
"SUWS010351","43.667240 N"," 90.223460 W"
"SUWS010355","46.130350 N"," 90.668670 W"
"SUWS010364","46.732160 N"," 92.066300 W"
"SUWS010366","46.336850 N"," 91.362820 W"
"SUWS010367","46.130350 N"," 90.668670 W"
"SUWS010368","46.717840 N"," 92.087860 W"
"SUWS010369","43.975910 N"," 90.752070 W"
