"county","distinct_specimens"
"Adams",1
"Ashland",106
"Barron",34
"Bayfield",825
"Brown",2
"Buffalo",13
"Burnett",80
"Chippewa",9
"Columbia",2
"Dane",13
"Dodge",3
"Door",4
"Douglas",3344
"Dunn",2
"Eau Claire",5
"Fond du Lac",6
"Forest",6
"Grant",4
"Iowa",4
"Iron",38
"Jackson",9
"Jefferson",1
"Juneau",25
"Kenosha",1
"La Crosse",106
"Langlade",9
"Manitowoc",8
"Marathon",5
"Marinette",6
"Marquette",4
"Monroe",13
"Oconto",2
"Oneida",11
"Outagamie",2
"Ozaukee",1
"Pepin",4
"Pierce",5
"Polk",335
"Price",10
"Racine",4
"Richland",15
"Rock",10
"Rusk",8
"Sauk",4
"Sawyer",15
"Sheboygan",4
"St. Croix",16
"Trempealeau",35
"Vernon",27
"Vilas",14
"Walworth",16
"Washburn",12
"Washington",2
"Waukesha",3
"Waupaca",2
"Waushara",1
"Winnebago",4
