"catalogNumber","t_num","t_dir","r_num","r_dir"
"SUWS010006",45," N",11,"W"
"SUWS010009",45," N",11,"W"
"SUWS010092",46," N",10,"W"
"SUWS010123",46," N",11,"W"
"SUWS010124",49," N",10,"W"
"SUWS010142",47," N",14,"W"
"SUWS010143",48," N",10,"W"
"SUWS010144",48," N",12,"W"
"SUWS010157",45," N",11,"W"
"SUWS010167",47," N",10,"W"
"SUWS010170",46," N",11,"W"
"SUWS010173",47," N",10,"W"
"SUWS010187",47," N",10,"W"
"SUWS010190",47," N",10,"W"
"SUWS010191",46," N",10,"W"
"SUWS010193",46," N",10,"W"
"SUWS010195",46," N",11,"W"
"SUWS010199",44," N",12,"W"
"SUWS010207",46," N",10,"W"
"SUWS010208",46," N",10,"W"
"SUWS010210",46," N",10,"W"
"SUWS010213",46," N",10,"W"
"SUWS010217",46," N",10,"W"
"SUWS010218",47," N",10,"W"
"SUWS010219",46," N",10,"W"
"SUWS010222",46," N",10,"W"
"SUWS010223",46," N",10,"W"
"SUWS010227",47," N",10,"W"
"SUWS010228",46," N",11,"W"
"SUWS010230",46," N",10,"W"
"SUWS010231",46," N",10,"W"
"SUWS010233",49," N",13,"W"
"SUWS010323",47," N",11,"W"
"SUWS010324",45," N",11,"W"
"SUWS010336",46," N",10,"W"
"SUWS010601",46," N",12,"W"
"SUWS010631",49," N",13,"W"
"SUWS010724",49," N",10,"W"
"SUWS010732",46," N",10,"W"
"SUWS010733",46," N",10,"W"
"SUWS010746",47," N",10,"W"
"SUWS010747",47," N",10,"W"
"SUWS010771",48," N",10,"W"
"SUWS010783",46," N",11,"W"
"SUWS010812",49," N",10,"W"
"SUWS010815",46," N",11,"W"
"SUWS010831",48," N",10,"W"
"SUWS010835",48," N",13,"W"
"SUWS010851",48," N",13,"W"
"SUWS010858",46," N",11,"W"
"SUWS010871",48," N",10,"W"
"SUWS010907",47," N",10,"W"
"SUWS010925",48," N",10,"W"
"SUWS010951",46," N",11,"W"
"SUWS010969",49," N",10,"W"
"SUWS010984",47," N",10,"W"
"SUWS011002",46," N",11,"W"
"SUWS011035",47," N",10,"W"
"SUWS011074",47," N",10,"W"
"SUWS011164",47," N",10,"W"
"SUWS011278",47," N",10,"W"
"SUWS011347",47," N",10,"W"
"SUWS011402",48," N",10,"W"
"SUWS011453",47," N",10,"W"
"SUWS011486b",49," N",10,"W"
"SUWS011510",47," N",10,"W"
"SUWS011522",49," N",10,"W"
"SUWS011668",47," N",10,"W"
"SUWS011747",46," N",11,"W"
"SUWS011773",46," N",10,"W"
"SUWS011838",47," N",10,"W"
"SUWS011882",48," N",13,"W"
"SUWS011925",49," N",10,"W"
"SUWS012011",47," N",10,"W"
"SUWS012119",47," N",10,"W"
"SUWS012132",13," N",19,"E"
"SUWS012139",48," N",12,"W"
"SUWS012175",47," N",11,"W"
"SUWS012311",46," N",10,"W"
"SUWS012314",46," N",10,"W"
"SUWS014209",46," N",10,"W"
"SUWS014228",46," N",10,"W"
"SUWS015041",47," N",10,"W"
"SUWS015071",49," N",10,"W"
"SUWS015073",47," N",10,"W"
"SUWS015306",46," N",10,"W"
"SUWS015337",47," N",10,"W"
"SUWS015498",46," N",10,"W"
"SUWS015687",7," N",18,"E"
"SUWS015695",5," N",20,"E"
"SUWS015780",46," N",10,"W"
"SUWS015834",14," N",15,"E"
"SUWS015926",18," N",16,"E"
"SUWS015927",20," N",16,"E"
"SUWS016324",45," N",15,"W"
"SUWS016325",45," N",15,"W"
"SUWS016470",45," N",15,"W"
"SUWS017110",49," N",13,"W"
"SUWS017112",48," N",13,"W"
"SUWS017113",48," N",13,"W"
"SUWS017546",48,"N",12,"W"
"SUWS017447",48,"N",12,"W"
"SUWS017444",48,"N",12,"W"
"SUWS017551",48,"N",12,"W"
"SUWS017507",48,"N",12,"W"
"SUWS017404",48,"N",12,"W"
"SUWS017541",48,"N",12,"W"
"SUWS017554",48,"N",12,"W"
"SUWS017409",48,"N",12,"W"
"SUWS017540",48,"N",12,"W"
"SUWS017416",48,"N",12,"W"
"SUWS017424",48,"N",12,"W"
"SUWS017425",48,"N",12,"W"
"SUWS017438",48,"N",12,"W"
"SUWS017439",48,"N",12,"W"
"SUWS017442",48,"N",12,"W"
"SUWS017443",48,"N",12,"W"
"SUWS017445",48,"N",12,"W"
"SUWS017451",48,"N",12,"W"
"SUWS017452",48,"N",12,"W"
"SUWS017548",48,"N",12,"W"
"SUWS017550",48,"N",12,"W"
"SUWS017543",48,"N",12,"W"
"SUWS017431",48,"N",12,"W"
"SUWS017430",48,"N",12,"W"
"SUWS017450",48,"N",12,"W"
"SUWS017410",48,"N",12,"W"
"SUWS017552",48,"N",12,"W"
"SUWS009540",50,"N",4,"W"
"SUWS010004",44,"N",8,"W"
"SUWS010005",52,"N",5,"W"
"SUWS010013",44,"N",7,"W"
"SUWS010018",39,"N",7,"E"
"SUWS010019",45,"N",14,"W"
"SUWS010029",32,"N",22,"E"
"SUWS010032",45,"N",7,"W"
"SUWS010036",48,"N",13,"W"
"SUWS010043",40,"N",9,"W"
"SUWS010044",40,"N",9,"W"
"SUWS010046",40,"N",9,"W"
"SUWS010057",46,"N",11,"W"
"SUWS010059",45,"N",5,"W"
"SUWS010069",41,"N",16,"W"
"SUWS010080",16,"N",5,"W"
"SUWS010081",46,"N",15,"W"
"SUWS010082",49,"N",14,"W"
"SUWS010083",14,"N",6,"W"
"SUWS010084",47,"N",15,"W"
"SUWS010086",47,"N",14,"W"
"SUWS010088",44,"N",3,"E"
"SUWS010093",47,"N",14,"W"
"SUWS010094",45,"N",7,"W"
"SUWS010099",46,"N",8,"W"
"SUWS010100",41,"N",12,"W"
"SUWS010101",50,"N",4,"W"
"SUWS010102",46,"N",2,"E"
"SUWS010104",42,"N",15,"W"
"SUWS010105",45,"N",7,"W"
"SUWS010106",51,"N",5,"W"
"SUWS010112",48,"N",12,"W"
"SUWS010113",45,"N",8,"W"
"SUWS010114",47,"N",14,"W"
"SUWS010115",49,"N",14,"W"
"SUWS010116",51,"N",3,"W"
"SUWS010117",45,"N",8,"W"
"SUWS010118",48,"N",9,"W"
"SUWS010120",46,"N",15,"W"
"SUWS010125",47,"N",10,"W"
"SUWS010127",49,"N",13,"W"
"SUWS010129",48,"N",12,"W"
"SUWS010130",45,"N",3,"E"
"SUWS010133",48,"N",9,"W"
"SUWS010134",46,"N",15,"W"
"SUWS010135",20,"N",12,"W"
"SUWS010139",17,"N",8,"W"
"SUWS010140",19,"N",13,"E"
"SUWS010141",47,"N",14,"W"
"SUWS010145",46,"N",2,"E"
"SUWS010147",47,"N",10,"W"
