"OBJECTID","distinct_specimens","distinct_collectors"
3,1,1
4,1,1
5,6,2
6,2,1
9,12,11
10,7,2
11,5,2
12,2,1
13,7,1
14,1,1
15,2,1
16,8,2
17,13,5
18,14,2
19,2,1
21,3,4
23,2,1
24,68,3
26,8,2
26,143,2
26,8,9
26,143,9
27,2,2
28,708,102
29,2,2
31,1,1
32,3,1
33,3,1
34,17,1
35,3,2
35,510,2
35,3,61
35,510,61
36,32,9
37,21,3
38,3,2
39,13,4
40,85,16
41,5,2
41,51,2
41,5,15
41,51,15
42,2,1
42,412,1
42,2,18
42,412,18
43,2,1
44,6,2
44,37,2
44,6,9
44,37,9
45,23,3
46,8,5
47,5,2
48,1,1
49,4,2
50,3,2
51,1,1
52,6,2
53,194,32
54,1,1
54,116,1
54,1,11
54,116,11
55,22,5
56,17,5
57,2,1
57,53,1
57,2,5
57,53,5
59,24,2
59,120,2
59,24,13
59,120,13
60,6,4
61,17,12
62,1,1
63,1,1
65,3,2
67,1,1
68,9,2
70,158,16
72,27,13
73,48,9
74,1,1
74,10,1
74,1,7
74,10,7
75,10,1
75,45,1
75,10,6
75,45,6
76,24,3
76,75,3
76,24,11
76,75,11
77,11,1
78,16,6
79,4,5
81,8,6
85,1,1
87,14,2
89,3,1
89,4,1
89,3,4
89,4,4
90,11,7
91,10,4
92,49,14
93,4,2
93,37,2
93,4,7
93,37,7
94,11,3
95,10,5
96,344,34
97,60,20
98,9,4
99,4,3
100,5,5
102,1,1
103,2,1
105,1,1
106,4,1
108,8,3
109,2,1
110,1,3
110,8,3
110,1,6
110,8,6
111,6,3
112,2,1
113,2,2
114,35,5
115,39,11
119,1,3
120,4,4
123,4,1
124,2,1
128,5,1
129,2,1
130,1,1
131,3,1
132,12,4
136,1,1
137,18,6
154,2,1
156,5,4
157,1,1
162,1,2
171,9,1
176,4,1
183,11,3
184,7,3
187,3,1
193,5,1
200,1,1
219,18,4
230,3,1
246,9,3
249,1,1
258,2,3
286,1,2
294,2,2
295,4,1
298,8,1
327,2,1
332,3,1
339,2,2
345,1,1
347,1,1
369,2,2
374,2,1
379,13,1
380,14,1
383,48,4
396,2,1
406,1,1
408,1,1
419,1,1
422,1,1
431,24,1
444,4,1
456,2,1
490,4,2
508,5,2
509,4,1
512,222,2
518,1,1
519,6,2
542,9,1
555,3,1
565,1,1
573,3,1
574,1,1
599,8,2
624,1,1
649,1,1
662,1,1
695,4,2
751,1,1
796,1,2
808,1,2
809,2,2
826,1,1
840,5,2
859,1,2
905,1,2
942,2,2
974,2,2
1037,1,1
1042,1,1
1056,1,2
1058,1,2
1087,2,1
1096,10,5
1108,1,1
1136,2,1
1142,5,3
1155,1,1
1162,1,2
1168,5,2
1177,28,4
1178,6,3
1179,1,1
1179,2,1
1179,1,1
1179,2,1
1180,2,3
1182,1,1
1184,1,1
1209,9,4
1211,4,2
1212,1,1
1215,5,2
1216,1,1
1219,6,1
1222,1,1
1239,2,1
1241,21,8
1242,5,5
1244,2,2
1247,1,1
1254,4,2
1261,6,2
1268,2,2
1277,6,2
1280,37,11
1281,1,1
1283,8,5
1286,5,1
1300,20,6
1302,12,2
1310,2,2
1315,3,1
1319,1,1
1331,1,1
1331,3,1
1331,1,1
1331,3,1
1334,1,1
1350,1,1
1359,1,1
1361,1,1
1380,2,1
1381,1,1
1396,1,1
1397,4,1
1401,1,1
1415,1,1
1431,2,2
1432,1,1
1453,6,1
1458,1,1
1478,3,1
1484,1,2
1485,1,1
1486,1,1
1488,1,1
1489,2,2
1514,2,1
1520,1,1
1540,1,1
1568,1,1
1579,1,1
1610,2,1
1611,6,2
1612,2,1
1619,1,1
1620,3,1
1632,1,1
1637,1,1
1665,4,1
1666,2,2
1674,1,1
