"OBJECTID","collected_specimens","CollectedBy"
3,1,"Clements, Jimmy D."
4,1,"Koch, Rudy G."
5,4,"Koch, Rudy G."
6,2,"Koch, Rudy G."
9,5,"Davidson, Donald W. & Gitar, Richard D. & Heim, Mike"
10,4,"Clements, Jimmy D."
11,4,"Koch, Rudy G."
12,2,"Koch, Rudy G."
13,7,"Koch, Rudy G."
14,1,"Koch, Rudy G."
15,2,"Koch, Rudy G."
16,7,"Bruederle, Leo P."
17,9,"Bruederle, Leo P."
18,13,"Bruederle, Leo P."
19,2,"Koch, Rudy G."
21,2,"Koch, Rudy G."
23,2,"Castle, R."
24,48,"Anderson, Lisa"
26,116,"Castle, R."
27,1,"Jolhaug, Mark K. & Koch, Rudy G."
28,50,"Thomson, John W., Jr."
29,1,"Evans, Lisa & Koch, Rudy G."
31,1,"Mooring, Margaret"
32,3,"Koch, Rudy G."
33,3,"Koch, Rudy G."
34,17,"Koch, Rudy G."
35,50,"Thomson, John W., Jr."
36,9,"Castle, R."
37,15,"Bruederle, Leo P."
38,2,"Watten, Joshua"
39,8,"Moullette, Elyse"
40,49,"Brashier"
41,11,"Juve, Karla & Thomson, John W., Jr."
42,70,"Bergman, Nils"
43,2,"Castle, R."
44,17,"Thomson, John W., Jr."
45,13,"Brost, Mike"
46,4,"Kristiansen, Stein"
47,3,"Koch, Rudy G."
48,1,"Stackler, Susan"
49,3,"Koch, Rudy G."
50,2,"Anderson, Derek S."
51,1,"Heim, John A."
52,6,"Smith, W. A."
53,20,"Neely, Chuck"
54,43,"Koch, Rudy G."
55,12,"Ojanen, Joanne M."
56,13,"Martin, Bonita"
57,23,"Castle, R."
59,65,"Thomson, John W., Jr."
60,4,"Thomson, John W., Jr."
61,6,"Brashier & Koch, Rudy G."
62,1,"Anderson, Jason"
63,1,"Lunda, Judy"
65,2,"Team 6"
67,1,"Team 6"
68,7,"Bruederle, Leo P."
70,67,"Brashier"
72,8,"Koch, Rudy G."
73,36,"Hein, Elizabeth"
74,3,"Brashier & Romans"
75,36,"Thomson, John W., Jr."
76,55,"Thomson, John W., Jr."
77,11,"Thomson, John W., Jr."
78,8,"Koch, Rudy G."
79,2,"Brashier"
81,8,"Brashier"
85,1,"Koch, Rudy G."
87,13,"Koch, Rudy G."
89,3,"Anderson, Derek S. & Davidson, Donald W. & Gitar, Richard D. & Heim, Mike"
90,5,"Munich, Robert A."
91,8,"Castle, R."
92,15,"Koch, Rudy G."
93,25,"Thomson, John W., Jr."
94,9,"Thomson, John W., Jr."
95,7,"Brashier"
96,326,"Brashier"
97,44,"Brashier"
98,6,"Heim, John A."
99,2,"Heim, John A."
100,4,"Davidson, Donald W. & Johnson, Robbye"
102,1,"Ludwig, Larry"
103,2,"Bjork, Ann"
105,1,"Koch, Rudy G."
106,4,"Koch, Rudy G."
108,6,"Koch, Rudy G."
109,2,"Koch, Rudy G."
110,2,"Brashier & Romans & Thomson, John W., Jr. & Wagner, Christina"
111,4,"Brashier & Romans"
112,2,"Koch, Rudy G."
113,2,"Brashier & Holden"
114,22,"Brashier"
115,31,"Brashier"
119,1,"Davidson, Donald W. & Heim, Michael & Johnson, Robbye"
120,2,"Barnard & Brashier"
123,4,"Koch, Rudy G."
124,2,"Koch, Rudy G."
128,5,"Koch, Rudy G."
129,2,"Castle, R."
130,1,"Johnson, Robbye"
131,3,"Koch, Rudy G."
132,5,"Koch, Rudy G. & Martin, Bonita"
136,1,"Vansteenburg, Jeffrey B."
137,17,"Brashier"
154,2,"Koch, Rudy G."
156,3,"Anderson, Derek S."
157,1,"Koch, Rudy G."
162,1,"Brashier & Hjerleid"
171,9,"Koch, Rudy G."
176,4,"Anderson, Derek S."
183,7,"Brashier & Romans"
184,4,"Anderson, Derek S."
187,3,"Koch, Rudy G."
