"OBJECTID","collected_specimens","CollectedBy"
9,1,"Brashier"
17,3,"Brashier"
28,13,"Brashier"
35,5,"Brashier"
40,49,"Brashier"
41,6,"Brashier"
42,2,"Brashier"
44,1,"Brashier"
46,1,"Brashier"
54,4,"Brashier"
59,3,"Brashier"
61,6,"Brashier"
70,67,"Brashier"
74,3,"Brashier"
76,1,"Brashier"
78,2,"Brashier"
79,2,"Brashier"
81,8,"Brashier"
90,1,"Brashier"
92,6,"Brashier"
94,2,"Brashier"
95,7,"Brashier"
96,326,"Brashier"
97,44,"Brashier"
98,3,"Brashier"
108,2,"Brashier"
110,2,"Brashier"
111,4,"Brashier"
113,2,"Brashier"
114,22,"Brashier"
115,31,"Brashier"
120,2,"Brashier"
137,17,"Brashier"
156,1,"Brashier"
162,1,"Brashier"
183,7,"Brashier"
184,3,"Brashier"
219,16,"Brashier"
258,1,"Brashier"
339,2,"Brashier"
369,2,"Brashier"
508,5,"Brashier"
599,8,"Brashier"
695,4,"Brashier"
796,1,"Brashier"
808,1,"Brashier"
809,2,"Brashier"
840,5,"Brashier"
859,1,"Brashier"
905,1,"Brashier"
974,2,"Brashier"
1056,1,"Brashier"
1168,5,"Brashier"
1254,4,"Brashier"
1268,2,"Brashier"
1277,6,"Brashier"
1302,12,"Brashier"
