"OBJECTID","collected_specimens","CollectedBy"
26,16,"Thomson, John W., Jr."
28,50,"Thomson, John W., Jr."
35,50,"Thomson, John W., Jr."
36,4,"Thomson, John W., Jr."
37,4,"Thomson, John W., Jr."
40,9,"Thomson, John W., Jr."
41,11,"Thomson, John W., Jr."
42,9,"Thomson, John W., Jr."
44,17,"Thomson, John W., Jr."
45,8,"Thomson, John W., Jr."
53,7,"Thomson, John W., Jr."
54,21,"Thomson, John W., Jr."
55,1,"Thomson, John W., Jr."
57,10,"Thomson, John W., Jr."
59,65,"Thomson, John W., Jr."
60,4,"Thomson, John W., Jr."
70,2,"Thomson, John W., Jr."
72,5,"Thomson, John W., Jr."
74,2,"Thomson, John W., Jr."
75,36,"Thomson, John W., Jr."
76,55,"Thomson, John W., Jr."
77,11,"Thomson, John W., Jr."
90,2,"Thomson, John W., Jr."
91,1,"Thomson, John W., Jr."
92,4,"Thomson, John W., Jr."
93,25,"Thomson, John W., Jr."
94,9,"Thomson, John W., Jr."
95,3,"Thomson, John W., Jr."
110,2,"Thomson, John W., Jr."
137,1,"Thomson, John W., Jr."
518,1,"Thomson, John W., Jr."
519,4,"Thomson, John W., Jr."
1261,6,"Thomson, John W., Jr."
1485,1,"Thomson, John W., Jr."
1486,1,"Thomson, John W., Jr."
1610,2,"Thomson, John W., Jr."
1611,5,"Thomson, John W., Jr."
1612,2,"Thomson, John W., Jr."
1637,1,"Thomson, John W., Jr."
1665,4,"Thomson, John W., Jr."
1666,1,"Thomson, John W., Jr."
